direction,open_time,open_price,open_idx,slip_open,comm_open,close_time,close_price,duration_min,pnl_pct,pnl_usd,slip_close,comm_total
SHORT,2025-04-25 02:25:00,2.185469389295121,220719,0.06998842794419938,0.0004,2025-04-25 14:20:00,2.2010567535232135,715,-0.8194562569706971,-8.185549499159647,0.06622896106608676,0.08
LONG,2025-04-25 14:20:00,2.2021410964822103,220862,0.11552624094476559,0.0004,2025-04-25 15:45:00,2.1994522941256855,85,-0.2641877565318306,-2.613275925376459,0.10208829792674841,0.08
SHORT,2025-04-25 15:45:00,2.200928005155097,220879,0.03506231581853744,0.0004,2025-04-26 06:40:00,2.215598156795948,895,-0.7425867092043318,-7.3205678068499385,0.036042796523399666,0.08
SHORT,2025-04-26 07:55:00,2.2299783130667934,221073,0.08162766440279927,0.0004,2025-04-26 14:35:00,2.198700189590454,400,1.3034602817851582,12.738837777596924,0.05915979272685945,0.08
LONG,2025-04-26 14:35:00,2.198700189590454,221153,0.05915979272685945,0.0004,2025-04-27 04:45:00,2.168676261162564,850,-1.434287463339892,-14.186054640087704,0.028756657000965462,0.08
SHORT,2025-04-27 04:45:00,2.1683545724523663,221323,0.04358580457996643,0.0004,2025-04-27 08:55:00,2.1806709641306923,250,-0.6479609588774569,-6.311563715117924,0.03995460812660198,0.08
LONG,2025-04-27 08:55:00,2.1805560648453812,221373,0.034683515203331954,0.0004,2025-04-27 14:05:00,2.2172999382019043,310,1.3976297745230348,13.515514805570593,0.2474391832947731,0.08
SHORT,2025-04-27 14:05:00,2.2172999382019043,221435,0.2474391832947731,0.0004,2025-04-27 20:05:00,2.288561933351944,360,-3.3222074335578498,-32.48215746330727,0.06829875470636998,0.08
LONG,2025-04-27 20:05:00,2.2893002114608425,221507,0.1005802644565415,0.0004,2025-04-28 06:15:00,2.274995396537557,610,-0.7002096535580403,-6.60939913719261,0.03535430030765823,0.08
SHORT,2025-04-28 06:15:00,2.274484915775178,221629,0.05778512747566771,0.0004,2025-04-28 07:30:00,2.3174342606559777,75,-2.016173638446246,-18.879272971038674,0.08786281330446515,0.08
SHORT,2025-04-28 07:35:00,2.320222392395416,221645,0.07655617084506247,0.0004,2025-04-28 08:20:00,2.351707641401116,45,-1.6018440223926529,-14.679979921533988,0.2048513001047508,0.08
SHORT,2025-04-28 08:40:00,2.3292500972747803,221658,0.16929538687691092,0.0004,2025-04-28 16:40:00,2.28475837835538,480,1.7799603436390348,16.01742178959086,0.09017025897231845,0.08
LONG,2025-04-28 16:40:00,2.2845866722821664,221754,0.08264819875567823,0.0004,2025-04-29 03:10:00,2.2816403544777457,630,-0.2153884412614689,-1.9703073383205274,0.04642341488855933,0.08
SHORT,2025-04-29 03:10:00,2.2813663447465022,221880,0.0584271702583245,0.0004,2025-04-29 14:15:00,2.2860549542789874,665,-0.3223404998834091,-2.939424795596418,0.07682289227593127,0.08
LONG,2025-04-29 14:15:00,2.2860756686164483,222013,0.0777297055953151,0.0004,2025-04-30 06:50:00,2.241856145682849,995,-2.0208340000631853,-18.34697019896774,0.046535693990004394,0.08
SHORT,2025-04-30 06:50:00,2.241849899291992,222212,0.046814189408905804,0.0004,2025-04-30 09:50:00,2.2344375276211617,180,0.24418608788509913,2.1702570608823804,0.046450306334311485,0.08
LONG,2025-04-30 09:50:00,2.2344060825001004,222248,0.04504235793446238,0.0004,2025-04-30 10:25:00,2.2248288703603736,35,-0.5032728678123737,-4.480056395474626,0.03464835704256767,0.08
SHORT,2025-04-30 10:25:00,2.2244769703388085,222255,0.05045982455253192,0.0004,2025-04-30 11:10:00,2.2363336565365532,45,-0.6326861972510002,-5.598659801888563,0.059676129902951555,0.08
LONG,2025-04-30 11:10:00,2.236012586431393,222264,0.045310576425081954,0.0004,2025-04-30 12:35:00,2.2113719920413732,85,-1.2020007504196253,-10.560229340312372,0.060012571124746256,0.08
SHORT,2025-04-30 12:35:00,2.2113640333057645,222281,0.060372255492431096,0.0004,2025-04-30 15:10:00,2.165250062942505,155,1.9227847007472771,16.672905506907956,0.12253321474418044,0.08
LONG,2025-04-30 15:10:00,2.165250062942505,222312,0.12253321474418044,0.0004,2025-05-01 07:10:00,2.1954126381764394,960,1.3080793159488728,11.541959422333015,0.04495032760853433,0.08
SHORT,2025-05-01 07:10:00,2.1956713397846386,222504,0.0331718894014229,0.0004,2025-05-01 10:25:00,2.237067029265982,195,-1.999907594166909,-17.864117975121598,0.07457581744462777,0.08
LONG,2025-05-01 10:25:00,2.237016851917801,222543,0.07233114762955971,0.0004,2025-05-01 11:35:00,2.2362000942230225,70,-0.1390777838884808,-1.2160957578787022,0.06256676279008389,0.08
SHORT,2025-05-01 11:35:00,2.2362000942230225,222557,0.06256676279008389,0.0004,2025-05-01 15:20:00,2.250649929046631,225,-0.7595429396892389,-6.625402158071563,0.07336486014537513,0.08
LONG,2025-05-01 15:20:00,2.250649929046631,222602,0.07336486014537513,0.0004,2025-05-02 04:05:00,2.2285111056696696,765,-1.072499549031013,-9.273702745459625,0.048835981843591066,0.08
SHORT,2025-05-02 04:05:00,2.2284495891615133,222755,0.05159506461456033,0.0004,2025-05-02 11:45:00,2.2198052405113695,460,0.29358584077014477,2.5090552272501343,0.05432280621864816,0.08
LONG,2025-05-02 11:45:00,2.2192638978407104,222847,0.029922614107009894,0.0004,2025-05-02 12:20:00,2.210970946633711,35,-0.45116791040679255,-3.8644055740211614,0.03748764574479383,0.08
SHORT,2025-05-02 12:20:00,2.211004707660466,222854,0.035961240769091934,0.0004,2025-05-02 13:00:00,2.223333559916054,40,-0.6441193149424578,-5.488036207895115,0.046506198476797114,0.08
LONG,2025-05-02 13:00:00,2.2234520543652287,222862,0.05183826194111122,0.0004,2025-05-02 13:20:00,2.216872524167646,20,-0.4047700037608251,-3.423367410368058,0.06885491152102405,0.08
SHORT,2025-05-02 13:20:00,2.2175544642515166,222866,0.038114734663752654,0.0004,2025-05-02 14:25:00,2.2372738471105973,65,-1.0085847243246344,-8.489003950081145,0.07934465482597991,0.08
LONG,2025-05-02 14:25:00,2.236266625858154,222879,0.03428890852244338,0.0004,2025-05-02 15:30:00,2.2113755856645123,65,-1.2129124377253506,-10.098307237999409,0.05985016215301205,0.08
SHORT,2025-05-02 15:30:00,2.211171823724376,222892,0.06905890939634657,0.0004,2025-05-03 12:25:00,2.1977664794961593,1255,0.5131495310315398,4.2158907988885055,0.05310567195117034,0.08
LONG,2025-05-03 12:25:00,2.197797943098992,223143,0.054538049416367855,0.0004,2025-05-03 17:15:00,2.182549883282666,290,-0.8001860485309901,-6.601589351160877,0.06639798379081713,0.08
SHORT,2025-05-03 17:15:00,2.1829184217575377,223201,0.04952351161605281,0.0004,2025-05-03 21:35:00,2.1981518492500256,260,-0.7857247457417829,-6.424655567047407,0.04787789353449866,0.08
LONG,2025-05-03 21:35:00,2.198559947752005,223253,0.0664523105423401,0.0004,2025-05-04 03:15:00,2.1932198979335964,340,-0.3457795883337952,-2.802143505557485,0.06289106378532733,0.08
SHORT,2025-05-04 03:15:00,2.19366359880728,223321,0.04267321759935582,0.0004,2025-05-04 12:50:00,2.192582448920816,575,-0.02184923328204197,-0.17630463257736526,0.031134360092372974,0.08
