direction,open_time,open_price,open_idx,slip_open,comm_open,close_time,close_price,duration_min,pnl_pct,pnl_usd,slip_close,comm_total
LONG,2025-04-25 12:20:00,2.2111034077615392,220838,0.08162614987461164,0.0004,2025-11-25 08:25:00,2.2131841741606437,307925,-0.0008024822103563207,-0.008015061821404356,0.05490782309131469,0.08
SHORT,2025-11-25 08:25:00,2.212290569667155,282423,0.09526207128904933,0.0004,2025-11-25 12:20:00,2.209886852019469,235,-0.048544787413350624,-0.48419772872310657,0.1171976777996041,0.08
LONG,2025-11-25 12:20:00,2.208186383748872,282470,0.04015929104392477,0.0004,2025-12-10 09:10:00,2.0747409384013413,21410,-6.105339968957855,-60.817820292755094,0.022125214550282563,0.08
SHORT,2025-12-10 09:10:00,2.0745339636236175,286752,0.03209894092162527,0.0004,2025-12-10 10:10:00,2.090225016566632,60,-0.8597922298216429,-8.036041557007229,0.06342703078645662,0.08
LONG,2025-12-10 10:10:00,2.090344651771475,286764,0.06915421733109361,0.0004,2026-01-28 09:15:00,1.9088546666707142,70505,-8.750859324643208,-80.99810817322364,0.028559736058332695,0.08
SHORT,2026-01-28 09:15:00,1.9085776231036142,300865,0.0430691929082606,0.0004,2026-01-28 18:00:00,1.923449851603928,525,-0.9259188670305893,-7.813848293127487,0.10668786692437147,0.08
LONG,2026-01-28 18:00:00,1.9231074150010825,300970,0.08886562212467097,0.0004,2026-05-13 04:40:00,1.4561374823040607,150400,-24.36752799090424,-203.47148327264213,0.04547650202476878,0.08
