Žurnāls: ppo_trader_Realistic Mode, OP - 0.0001 (Overtrade)_XRP.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.0001 (Overtrade)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,455 sveces  |  2019-01-05 05:00:00 → 2026-05-13 04:50:00
Izmantojam     : 331,053 sveces  |  2023-03-20 15:45:00 → 2026-05-13 04:50:00
Apmācība (~2g) : 0..220,702  (2023-03-20 15:45:00 → 2025-04-25 00:55:00)
Tests  (~1g)   : 220,702..331,053  (2025-04-25 01:00:00 → 2026-05-13 04:50:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.0001  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.0001
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.0001 (Overtrade)_XRP/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.00147  -0.0010  0.0366  1.299?    0.0%  -0.408  3.00e-04  25.2%/28.5%/26.6%/19.7%
     1,024     2    -0.00164  -0.0000  0.0258  1.305?    0.0%  +0.453  3.00e-04  30.9%/25.0%/26.2%/18.0%
     1,536     3    -0.00185  +0.0001  0.0216  1.290?    0.0%  +0.602  3.00e-04  29.9%/25.0%/25.8%/19.3%
     2,048     4    -0.00176  -0.0005  0.0167  1.301?    0.0%  +0.650  2.99e-04  30.7%/29.5%/21.9%/18.0%
     2,560     5    -0.00181  -0.0001  0.0112  1.289?    0.0%  -0.103  2.99e-04  30.1%/25.0%/26.0%/18.9%
     3,072     6    -0.00174  -0.0005  0.0126  1.305→    0.0%  +0.696  2.99e-04  23.6%/26.4%/30.3%/19.7%
     3,584     7    -0.00168  -0.0003  0.0100  1.299→    0.0%  -0.139  2.98e-04  27.9%/26.4%/26.6%/19.1%
     4,096     8    -0.00159  -0.0002  0.0085  1.309→    0.0%  +0.011  2.98e-04  29.9%/22.3%/28.9%/18.9%
     4,608     9    -0.00160  -0.0008  0.0076  1.306↑    0.0%  -0.353  2.97e-04  28.3%/27.7%/25.2%/18.8%
     5,120    10    -0.00154  +0.0005  0.0064  1.300→    0.0%  +0.034  2.97e-04  27.3%/27.9%/25.8%/18.9%
     5,632    11    -0.00150  -0.0007  0.0049  1.312→    0.0%  -0.250  2.96e-04  26.2%/29.7%/25.6%/18.6%
