Žurnāls: ppo_trader_Risk Control Mode_XRP.log

Ierīce: cpu  |  AMP: False
Eksperiments: Risk Control Mode

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,455 sveces  |  2019-01-05 05:00:00 → 2026-05-13 04:50:00
Izmantojam     : 331,053 sveces  |  2023-03-20 15:45:00 → 2026-05-13 04:50:00
Apmācība (~2g) : 0..220,702  (2023-03-20 15:45:00 → 2025-04-25 00:55:00)
Tests  (~1g)   : 220,702..331,053  (2025-04-25 01:00:00 → 2026-05-13 04:50:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.000898  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.000898
Kontrolpunkti: checkpoints_Risk Control Mode_XRP/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    18,432    36    -0.07031  -0.0015  0.8065  0.383↓    0.0%  -0.008  2.57e-04  88.1%/ 3.1%/ 2.9%/ 5.9%
    18,944    37    -0.06094  -0.0018  0.6530  0.374↓    0.0%  -0.008  2.55e-04  85.5%/ 4.1%/ 3.3%/ 7.0%
    19,456    38    -0.05250  -0.0021  0.7004  0.349↓    0.0%  -0.007  2.53e-04  87.1%/ 3.5%/ 3.1%/ 6.2%
    19,968    39    -0.04566  -0.0015  0.5778  0.342↓    0.0%  +0.006  2.50e-04  87.5%/ 2.7%/ 3.7%/ 6.1%
    20,480    40    -0.04290  -0.0023  0.5731  0.319↓    0.0%  -0.010  2.48e-04  88.7%/ 3.7%/ 2.1%/ 5.5%
    20,992    41    -0.03913  -0.0019  0.4867  0.288↓    0.0%  -0.096  2.45e-04  90.0%/ 2.9%/ 2.1%/ 4.9%
    21,504    42    -0.03817  -0.0010  0.2876  0.302↓    0.0%  -0.133  2.43e-04  89.1%/ 3.5%/ 2.1%/ 5.3%
    22,016    43    -0.03606  -0.0014  0.2973  0.276↓    0.0%  -0.188  2.40e-04  92.6%/ 2.0%/ 1.8%/ 3.7%
    22,528    44    -0.03421  -0.0008  0.2531  0.237↓    0.0%  -0.241  2.38e-04  93.0%/ 2.5%/ 1.0%/ 3.5%
    23,040    45    -0.03128  -0.0013  0.2500  0.222↓    0.0%  -0.691  2.35e-04  93.6%/ 1.8%/ 1.6%/ 3.1%
    23,552    46    -0.03053  -0.0039  0.1534  0.207↓    0.6%  +0.004  2.33e-04  91.2%/ 2.3%/ 2.3%/ 4.1%
    24,064    47    -0.02844  -0.0024  0.2432  0.162↓    0.1%  -0.348  2.30e-04  95.7%/ 0.6%/ 1.4%/ 2.3%
    24,576    48    -0.02689  -0.0031  0.2299  0.148↓    0.0%  -0.130  2.27e-04  94.9%/ 1.6%/ 1.2%/ 2.3%
    25,088    49    -0.02391  +0.0002  0.1739  0.105↓    0.0%  +0.260  2.24e-04  98.2%/ 0.4%/ 0.4%/ 1.0%
    25,600    50    -0.02160  -0.0004  0.1003  0.108↓    0.0%  -1.057  2.22e-04  96.5%/ 0.8%/ 1.0%/ 1.8%
    26,112    51    -0.02036  -0.0031  0.1019  0.108↓    0.1%  -0.732  2.19e-04  95.7%/ 1.4%/ 0.8%/ 2.1%
    26,624    52    -0.01717  +0.0003  0.0948  0.084↓    0.0%  -1.959  2.16e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    27,136    53    -0.01551  +0.0002  0.0985  0.098↓    0.1%  +0.315  2.13e-04  97.3%/ 1.2%/ 0.2%/ 1.4%
    27,648    54    -0.01394  -0.0006  0.0619  0.078↓    0.0%  -0.835  2.10e-04  98.8%/ 0.2%/ 0.4%/ 0.6%
    28,160    55    -0.01243  +0.0003  0.0484  0.073↓    0.0%  -2.959  2.07e-04  98.4%/ 0.4%/ 0.4%/ 0.8%
    28,672    56    -0.01034  +0.0002  0.0472  0.071↓    0.0%  -0.754  2.04e-04  98.2%/ 0.8%/ 0.2%/ 0.8%
    29,184    57    -0.00909  +0.0004  0.0409  0.064↓    0.0%  -1.605  2.01e-04  99.0%/ 0.2%/ 0.2%/ 0.6%
    29,696    58    -0.00812  -0.0014  0.0456  0.065↓    0.0%  -0.451  1.98e-04  97.7%/ 0.4%/ 0.8%/ 1.2%
  ✓ Kontrolpunkts: checkpoints_Risk Control Mode_XRP\ckpt_step0029696.pth  [40% apmācības]
    30,208    59    -0.00817  -0.0013  0.0566  0.053↓    0.0%  -0.144  1.95e-04  98.8%/ 0.4%/ 0.2%/ 0.6%
    30,720    60    -0.00762  -0.0021  0.0258  0.038↓    0.0%  -0.915  1.92e-04  98.8%/ 0.4%/ 0.2%/ 0.6%
    31,232    61    -0.00666  -0.0004  0.0297  0.030↓    0.0%  -1.792  1.89e-04  99.6%/ 0.2%/ 0.0%/ 0.2%
    31,744    62    -0.00680  -0.0012  0.0204  0.027↓    0.0%  -1.982  1.86e-04  99.2%/ 0.2%/ 0.2%/ 0.4%
    32,256    63    -0.00606  -0.0014  0.0159  0.022↓    0.1%  -2.509  1.82e-04  99.6%/ 0.0%/ 0.2%/ 0.2%
    32,768    64    -0.00606  -0.0017  0.0236  0.025↓    0.0%  -0.512  1.79e-04  98.4%/ 0.2%/ 0.6%/ 0.8%
    33,280    65    -0.00578  +0.0000  0.0115  0.015↓    0.0%  -2.963  1.76e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    33,792    66    -0.00534  +0.0000  0.0098  0.014↓    0.0%  -5.554  1.73e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    34,304    67    -0.00517  -0.0003  0.0144  0.017↓    0.0%  -0.573  1.70e-04  99.6%/ 0.0%/ 0.2%/ 0.2%
    34,816    68    -0.00482  -0.0008  0.0268  0.021↓    0.0%  -0.582  1.67e-04  99.2%/ 0.2%/ 0.2%/ 0.4%
    35,328    69    -0.00442  -0.0003  0.0102  0.012↓    0.0%  -1.515  1.63e-04  99.6%/ 0.0%/ 0.2%/ 0.2%
    35,840    70    -0.00459  -0.0013  0.0253  0.019↓    0.0%  -0.017  1.60e-04  98.4%/ 0.6%/ 0.2%/ 0.8%
    36,352    71    -0.00448  +0.0000  0.0081  0.008↓    0.0%  -3.078  1.57e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    36,864    72    -0.00434  +0.0000  0.0067  0.007↓    0.0%  -4.393  1.54e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    37,376    73    -0.00427  +0.0000  0.0059  0.007↓    0.0%  -2.593  1.50e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    37,888    74    -0.00405  +0.0003  0.0094  0.010↓    0.0%  -0.226  1.47e-04  99.6%/ 0.2%/ 0.0%/ 0.2%
    38,400    75    -0.00405  +0.0000  0.0048  0.007↓    0.0%  -4.917  1.44e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    38,912    76    -0.00416  -0.0001  0.0101  0.009↓    0.0%  -0.457  1.41e-04  99.6%/ 0.0%/ 0.2%/ 0.2%
    39,424    77    -0.00401  +0.0000  0.0046  0.006↓    0.0%  -5.148  1.38e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    39,936    78    -0.00369  +0.0000  0.0044  0.006↓    0.0%  -2.156  1.34e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    40,448    79    -0.00361  -0.0000  0.0109  0.006↓    0.0%  -0.872  1.31e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    40,960    80    -0.00333  -0.0001  0.0082  0.008↓    0.0%  -0.288  1.28e-04  99.6%/ 0.2%/ 0.0%/ 0.2%
    41,472    81    -0.00333  +0.0000  0.0038  0.006↓    0.0%  -4.945  1.25e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    41,984    82    -0.00363  -0.0004  0.0350  0.014↓    0.0%  -0.089  1.22e-04  99.6%/ 0.0%/ 0.2%/ 0.2%
    42,496    83    -0.00363  +0.0000  0.0032  0.005↓    0.0%  -2.296  1.19e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    43,008    84    -0.00352  +0.0000  0.0032  0.005↓    0.0%  -4.647  1.15e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
