Žurnāls: ppo_trader_Risk Control Mode_ETH.log

Ierīce: cpu  |  AMP: False
Eksperiments: Risk Control Mode

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,429 sveces  |  2019-01-05 05:00:00 → 2026-05-13 02:40:00
Izmantojam     : 331,041 sveces  |  2023-03-20 14:35:00 → 2026-05-13 02:40:00
Apmācība (~2g) : 0..220,694  (2023-03-20 14:35:00 → 2025-04-24 23:05:00)
Tests  (~1g)   : 220,694..331,041  (2025-04-24 23:10:00 → 2026-05-13 02:40:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.000898  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.000898
Kontrolpunkti: checkpoints_Risk Control Mode_ETH/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    18,432    36    -0.08630  -0.0033  0.6327  0.452↓    0.0%  -0.048  2.57e-04  83.4%/ 3.7%/ 4.9%/ 8.0%
    18,944    37    -0.07665  -0.0031  0.5945  0.430↓    0.0%  -0.188  2.55e-04  82.8%/ 4.7%/ 4.1%/ 8.4%
    19,456    38    -0.06794  -0.0020  0.6766  0.415↓    0.4%  -0.197  2.53e-04  84.6%/ 3.9%/ 4.1%/ 7.4%
    19,968    39    -0.05926  -0.0014  0.5662  0.389↓    0.0%  +0.059  2.50e-04  86.3%/ 2.7%/ 4.3%/ 6.6%
    20,480    40    -0.05248  -0.0021  0.5286  0.371↓    0.0%  +0.075  2.48e-04  86.3%/ 4.5%/ 2.7%/ 6.4%
    20,992    41    -0.04737  +0.0104  0.5466  0.359↓    0.9%  -0.396  2.45e-04  87.7%/ 2.9%/ 3.3%/ 6.1%
    21,504    42    -0.04561  +0.0030  0.3017  0.376↓    0.2%  -0.601  2.43e-04  86.7%/ 3.3%/ 3.5%/ 6.4%
    22,016    43    -0.04376  -0.0005  0.2344  0.378↓    0.0%  +0.181  2.40e-04  87.1%/ 2.3%/ 4.1%/ 6.4%
    22,528    44    -0.04104  -0.0024  0.3329  0.313↓    0.0%  -0.526  2.38e-04  89.5%/ 2.9%/ 2.3%/ 5.3%
    23,040    45    -0.03843  -0.0062  0.2874  0.286↓    0.7%  -0.544  2.35e-04  90.6%/ 2.0%/ 3.1%/ 4.3%
    23,552    46    -0.03701  -0.0047  0.2134  0.252↓    0.2%  -0.335  2.33e-04  89.3%/ 2.5%/ 3.1%/ 5.1%
    24,064    47    -0.03465  -0.0016  0.2701  0.205↓    0.0%  -0.609  2.30e-04  94.1%/ 1.0%/ 1.8%/ 3.1%
    24,576    48    -0.03258  -0.0024  0.2486  0.191↓    0.0%  -0.573  2.27e-04  94.1%/ 1.6%/ 1.6%/ 2.7%
    25,088    49    -0.02972  -0.0003  0.2017  0.154↓    0.0%  -0.623  2.24e-04  96.3%/ 0.4%/ 1.4%/ 2.0%
    25,600    50    -0.02738  -0.0004  0.1104  0.152↓    0.0%  -1.264  2.22e-04  94.9%/ 1.0%/ 1.6%/ 2.5%
    26,112    51    -0.02643  -0.0029  0.1612  0.168↓    0.0%  -0.378  2.19e-04  94.1%/ 1.4%/ 1.6%/ 2.9%
    26,624    52    -0.02296  -0.0007  0.1219  0.114↓    0.0%  -0.956  2.16e-04  98.8%/ 0.0%/ 0.6%/ 0.6%
    27,136    53    -0.02013  -0.0023  0.1208  0.128↓    0.6%  +0.681  2.13e-04  96.1%/ 1.4%/ 0.6%/ 2.0%
    27,648    54    -0.01782  -0.0001  0.0989  0.108↓    0.0%  +0.437  2.10e-04  97.7%/ 0.4%/ 0.8%/ 1.2%
    28,160    55    -0.01558  +0.0001  0.0737  0.103↓    0.0%  -1.669  2.07e-04  98.0%/ 0.4%/ 0.6%/ 1.0%
    28,672    56    -0.01324  +0.0004  0.0829  0.105↓    0.0%  -0.408  2.04e-04  97.9%/ 1.0%/ 0.2%/ 1.0%
    29,184    57    -0.01210  +0.0006  0.0616  0.110↓    0.1%  -1.220  2.01e-04  97.5%/ 1.0%/ 0.2%/ 1.4%
    29,696    58    -0.01124  -0.0031  0.0677  0.104↓    0.2%  -0.678  1.98e-04  95.5%/ 0.8%/ 1.6%/ 2.1%
  ✓ Kontrolpunkts: checkpoints_Risk Control Mode_ETH\ckpt_step0029696.pth  [40% apmācības]
    30,208    59    -0.01095  -0.0022  0.0492  0.078↓    0.1%  -0.496  1.95e-04  97.7%/ 0.4%/ 0.8%/ 1.2%
    30,720    60    -0.01012  -0.0012  0.0426  0.059↓    0.0%  -1.111  1.92e-04  98.8%/ 0.4%/ 0.2%/ 0.6%
    31,232    61    -0.00874  -0.0009  0.0459  0.061↓    0.0%  -1.581  1.89e-04  98.0%/ 0.8%/ 0.2%/ 1.0%
    31,744    62    -0.00856  -0.0007  0.0266  0.042↓    0.0%  -1.939  1.86e-04  99.2%/ 0.2%/ 0.2%/ 0.4%
    32,256    63    -0.00775  -0.0000  0.0231  0.037↓    0.0%  -2.003  1.82e-04  99.2%/ 0.0%/ 0.4%/ 0.4%
    32,768    64    -0.00746  -0.0015  0.0256  0.037↓    0.0%  -0.742  1.79e-04  98.4%/ 0.2%/ 0.6%/ 0.8%
    33,280    65    -0.00726  -0.0008  0.0223  0.031↓    0.0%  -1.030  1.76e-04  99.2%/ 0.0%/ 0.4%/ 0.4%
    33,792    66    -0.00687  -0.0001  0.0226  0.026↓    0.0%  -0.739  1.73e-04  99.6%/ 0.2%/ 0.0%/ 0.2%
    34,304    67    -0.00635  -0.0012  0.0194  0.024↓    0.0%  -1.051  1.70e-04  99.6%/ 0.0%/ 0.2%/ 0.2%
    34,816    68    -0.00569  -0.0008  0.0304  0.027↓    0.0%  -0.171  1.67e-04  99.2%/ 0.2%/ 0.2%/ 0.4%
    35,328    69    -0.00546  -0.0011  0.0236  0.022↓    0.0%  -0.331  1.63e-04  99.2%/ 0.0%/ 0.4%/ 0.4%
    35,840    70    -0.00563  -0.0016  0.0280  0.023↓    0.1%  -0.039  1.60e-04  98.4%/ 0.6%/ 0.2%/ 0.8%
    36,352    71    -0.00508  +0.0000  0.0137  0.012↓    0.0%  -0.172  1.57e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    36,864    72    -0.00502  -0.0003  0.0120  0.012↓    0.0%  -0.325  1.54e-04  99.8%/ 0.0%/ 0.2%/ 0.0%
    37,376    73    -0.00498  +0.0000  0.0114  0.014↓    0.0%  -0.261  1.50e-04  99.8%/ 0.0%/ 0.0%/ 0.2%
    37,888    74    -0.00475  -0.0000  0.0097  0.012↓    0.0%  -0.273  1.47e-04  99.6%/ 0.2%/ 0.0%/ 0.2%
