Žurnāls: ppo_trader_Realistic Mode, OP - 0.004 (Conservative)_DOGE.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.004 (Conservative)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 719,235 sveces  |  2019-07-09 17:00:00 → 2026-05-13 04:55:00
Izmantojam     : 308,244 sveces  |  2023-06-07 22:00:00 → 2026-05-13 04:55:00
Apmācība (~2g) : 0..205,496  (2023-06-07 22:00:00 → 2025-05-21 10:35:00)
Tests  (~1g)   : 205,496..308,244  (2025-05-21 10:40:00 → 2026-05-13 04:55:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.004  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.004
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.004 (Conservative)_DOGE/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    18,432    36    -0.00519  -0.0015  0.0118  1.295↓    0.0%  +0.745  2.57e-04  30.9%/25.6%/26.4%/17.2%
    18,944    37    -0.00526  -0.0007  0.0066  1.291↓    0.0%  +0.892  2.55e-04  31.1%/23.8%/27.7%/17.4%
    19,456    38    -0.00532  -0.0017  0.0042  1.299↓    0.0%  +0.680  2.53e-04  31.1%/28.9%/22.3%/17.8%
    19,968    39    -0.00512  -0.0012  0.0062  1.294↓    0.0%  +0.573  2.50e-04  34.2%/22.1%/28.9%/14.8%
    20,480    40    -0.00533  -0.0002  0.0064  1.287↓    0.0%  +0.763  2.48e-04  29.9%/27.9%/25.4%/16.8%
    20,992    41    -0.00528  +0.0011  0.0051  1.298↓    0.0%  +0.758  2.45e-04  30.1%/23.6%/29.1%/17.2%
    21,504    42    -0.00507  -0.0006  0.0054  1.298↓    0.0%  +0.735  2.43e-04  35.4%/25.2%/26.2%/13.3%
    22,016    43    -0.00505  +0.0001  0.0039  1.291↓    0.0%  +0.472  2.40e-04  35.7%/22.3%/26.4%/15.6%
    22,528    44    -0.00495  -0.0009  0.0041  1.288↓    0.0%  +0.713  2.38e-04  35.9%/25.6%/23.6%/14.8%
    23,040    45    -0.00441  -0.0030  0.0042  1.284↓    0.0%  +0.536  2.35e-04  31.4%/27.1%/24.6%/16.8%
    23,552    46    -0.00421  -0.0018  0.0030  1.293↓    0.0%  +0.854  2.33e-04  32.2%/21.1%/32.2%/14.5%
    24,064    47    -0.00401  -0.0010  0.0028  1.276↓    0.0%  +0.634  2.30e-04  34.4%/24.8%/25.2%/15.6%
    24,576    48    -0.00402  -0.0009  0.0039  1.272↓    0.0%  +0.770  2.27e-04  34.0%/23.4%/25.4%/17.2%
    25,088    49    -0.00419  -0.0010  0.0063  1.263↓    0.0%  +0.558  2.24e-04  37.3%/20.9%/26.8%/15.0%
    25,600    50    -0.00392  -0.0014  0.0030  1.283↓    0.0%  +0.894  2.22e-04  31.2%/21.1%/29.9%/17.8%
    26,112    51    -0.00381  -0.0015  0.0041  1.269↓    0.0%  +0.706  2.19e-04  37.7%/20.5%/27.9%/13.9%
    26,624    52    -0.00383  -0.0019  0.0022  1.286↓    0.0%  +0.834  2.16e-04  36.3%/25.8%/24.0%/13.9%
    27,136    53    -0.00374  -0.0008  0.0036  1.280↓    0.0%  -0.023  2.13e-04  36.9%/20.7%/28.5%/13.9%
    27,648    54    -0.00379  -0.0018  0.0047  1.267↓    0.0%  +0.513  2.10e-04  31.4%/24.6%/26.8%/17.2%
    28,160    55    -0.00392  -0.0053  0.0043  1.270↓    0.2%  +0.497  2.07e-04  35.4%/23.4%/26.4%/14.8%
    28,672    56    -0.00391  +0.0008  0.0037  1.253↓    0.0%  +0.493  2.04e-04  34.8%/22.9%/25.4%/17.0%
    29,184    57    -0.00391  -0.0002  0.0028  1.250↓    0.0%  +0.368  2.01e-04  37.9%/22.1%/25.0%/15.0%
    29,696    58    -0.00389  -0.0015  0.0032  1.230↓    0.0%  +0.342  1.98e-04  38.1%/17.4%/27.7%/16.8%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.004 (Conservative)_DOGE\ckpt_step0029696.pth  [40% apmācības]
