Žurnāls: ppo_trader_Realistic Mode, OP - 0.004 (Conservative)_ETH.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.004 (Conservative)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,429 sveces  |  2019-01-05 05:00:00 → 2026-05-13 02:40:00
Izmantojam     : 331,041 sveces  |  2023-03-20 14:35:00 → 2026-05-13 02:40:00
Apmācība (~2g) : 0..220,694  (2023-03-20 14:35:00 → 2025-04-24 23:05:00)
Tests  (~1g)   : 220,694..331,041  (2025-04-24 23:10:00 → 2026-05-13 02:40:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.004  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.004
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.004 (Conservative)_ETH/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    18,432    36    -0.00317  -0.0019  0.0030  1.267↓    0.0%  -0.047  2.57e-04  37.5%/22.1%/23.8%/16.6%
    18,944    37    -0.00323  -0.0020  0.0029  1.285↓    0.0%  +0.371  2.55e-04  32.8%/24.2%/25.4%/17.6%
    19,456    38    -0.00322  -0.0002  0.0021  1.275↓    0.0%  -0.363  2.53e-04  39.6%/24.4%/20.5%/15.4%
    19,968    39    -0.00323  -0.0003  0.0024  1.275↓    0.0%  -0.034  2.50e-04  37.3%/21.1%/25.0%/16.6%
    20,480    40    -0.00320  -0.0017  0.0020  1.275↓    0.0%  -0.430  2.48e-04  33.2%/26.2%/24.8%/15.8%
    20,992    41    -0.00323  -0.0032  0.0019  1.272↓    0.0%  -0.279  2.45e-04  35.2%/23.4%/24.0%/17.4%
    21,504    42    -0.00315  -0.0009  0.0016  1.283↓    0.0%  +0.115  2.43e-04  40.6%/23.2%/22.7%/13.5%
    22,016    43    -0.00308  -0.0018  0.0017  1.233↓    0.0%  +0.070  2.40e-04  44.5%/18.2%/22.3%/15.0%
    22,528    44    -0.00299  -0.0008  0.0019  1.229↓    0.0%  +0.217  2.38e-04  43.9%/21.1%/19.7%/15.2%
    23,040    45    -0.00288  -0.0007  0.0014  1.193↓    0.0%  -1.466  2.35e-04  45.9%/18.6%/22.3%/13.3%
    23,552    46    -0.00274  -0.0012  0.0015  1.221↓    0.0%  -0.249  2.33e-04  44.7%/15.6%/27.7%/11.9%
    24,064    47    -0.00261  -0.0003  0.0014  1.176↓    0.0%  -2.012  2.30e-04  51.0%/17.0%/21.9%/10.2%
    24,576    48    -0.00257  -0.0034  0.0014  1.176↓    0.0%  -4.268  2.27e-04  51.6%/16.6%/19.3%/12.5%
    25,088    49    -0.00248  -0.0059  0.0014  1.169↓    0.4%  -0.638  2.24e-04  46.7%/16.2%/23.6%/13.5%
    25,600    50    -0.00244  -0.0042  0.0014  1.110↓    0.1%  -1.089  2.22e-04  52.1%/14.6%/20.1%/13.1%
    26,112    51    -0.00237  -0.0027  0.0016  1.103↓    1.4%  -0.860  2.19e-04  54.9%/14.5%/19.7%/10.9%
    26,624    52    -0.00232  -0.0051  0.0017  1.091↓    0.0%  +0.106  2.16e-04  56.4%/16.8%/17.0%/ 9.8%
    27,136    53    -0.00245  -0.0015  0.0031  1.179↓    0.0%  -0.671  2.13e-04  44.5%/21.7%/22.1%/11.7%
    27,648    54    -0.00247  -0.0029  0.0020  1.022↓    0.1%  -1.002  2.10e-04  58.2%/14.3%/17.0%/10.5%
    28,160    55    -0.00243  -0.0007  0.0017  1.003↓    0.1%  -0.093  2.07e-04  64.8%/13.1%/13.7%/ 8.4%
    28,672    56    -0.00236  -0.0017  0.0016  0.969↓    0.0%  -0.231  2.04e-04  66.2%/10.5%/14.6%/ 8.6%
    29,184    57    -0.00234  -0.0006  0.0011  0.972↓    0.8%  +0.081  2.01e-04  65.6%/11.5%/14.3%/ 8.6%
    29,696    58    -0.00227  +0.0006  0.0014  0.930↓    0.0%  -0.321  1.98e-04  67.8%/ 9.4%/14.1%/ 8.8%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.004 (Conservative)_ETH\ckpt_step0029696.pth  [40% apmācības]
    30,208    59    -0.00226  +0.0006  0.0020  0.936↓    0.0%  +0.474  1.95e-04  64.1%/12.9%/12.9%/10.2%
    30,720    60    -0.00220  +0.0018  0.0018  0.988↓    0.1%  +0.188  1.92e-04  60.7%/13.3%/16.6%/ 9.4%
    31,232    61    -0.00212  -0.0033  0.0016  0.902↓    0.9%  +0.052  1.89e-04  67.6%/11.1%/11.5%/ 9.8%
    31,744    62    -0.00207  -0.0018  0.0013  0.932↓    0.4%  +0.571  1.86e-04  64.1%/12.1%/13.7%/10.2%
