Žurnāls: ppo_trader_Realistic Mode, OP - 0.0001 (Overtrade)_BTC.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.0001 (Overtrade)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 771,726 sveces  |  2019-01-05 05:00:00 → 2026-05-10 16:05:00
Izmantojam     : 330,740 sveces  |  2023-03-19 05:05:00 → 2026-05-10 16:05:00
Apmācība (~2g) : 0..220,493  (2023-03-19 05:05:00 → 2025-04-22 20:50:00)
Tests  (~1g)   : 220,493..330,740  (2025-04-22 20:55:00 → 2026-05-10 16:05:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.0001  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.0001
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.0001 (Overtrade)_BTC/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    18,432    36    -0.00134  -0.0001  0.0023  1.305→    0.0%  -1.072  2.57e-04  26.4%/27.0%/27.3%/19.3%
    18,944    37    -0.00138  -0.0002  0.0022  1.299→    0.0%  +0.283  2.55e-04  26.8%/28.1%/26.0%/19.1%
    19,456    38    -0.00140  -0.0006  0.0024  1.308→    0.0%  -0.044  2.53e-04  27.0%/29.1%/24.0%/19.9%
    19,968    39    -0.00147  -0.0002  0.0018  1.299→    0.0%  +0.119  2.50e-04  29.7%/26.0%/26.2%/18.2%
    20,480    40    -0.00146  -0.0001  0.0016  1.305→    0.0%  -0.182  2.48e-04  24.2%/29.1%/28.3%/18.4%
    20,992    41    -0.00147  -0.0009  0.0018  1.302→    0.0%  +0.163  2.45e-04  26.0%/26.4%/27.1%/20.5%
    21,504    42    -0.00150  -0.0006  0.0016  1.312→    0.0%  -0.115  2.43e-04  29.3%/28.1%/25.8%/16.8%
    22,016    43    -0.00153  -0.0000  0.0015  1.300→    0.0%  +0.064  2.40e-04  28.5%/26.4%/26.0%/19.1%
    22,528    44    -0.00153  -0.0003  0.0013  1.309→    0.0%  +0.229  2.38e-04  27.3%/29.5%/24.2%/18.9%
    23,040    45    -0.00144  +0.0002  0.0016  1.299→    0.0%  -0.023  2.35e-04  26.6%/27.0%/27.1%/19.3%
    23,552    46    -0.00138  -0.0005  0.0011  1.313→    0.0%  +0.135  2.33e-04  25.2%/26.2%/31.8%/16.8%
    24,064    47    -0.00131  -0.0002  0.0012  1.303→    0.0%  -0.193  2.30e-04  25.8%/27.9%/27.7%/18.6%
    24,576    48    -0.00126  -0.0005  0.0013  1.302→    0.0%  -1.221  2.27e-04  27.3%/28.3%/26.2%/18.2%
    25,088    49    -0.00118  -0.0002  0.0012  1.301→    0.0%  -0.476  2.24e-04  26.6%/24.6%/30.7%/18.2%
    25,600    50    -0.00117  -0.0007  0.0010  1.299→    0.0%  +0.381  2.22e-04  26.2%/24.6%/29.5%/19.7%
    26,112    51    -0.00112  -0.0007  0.0009  1.310→    0.0%  -3.523  2.19e-04  27.5%/25.8%/29.9%/16.8%
    26,624    52    -0.00107  -0.0001  0.0010  1.302→    0.0%  -0.851  2.16e-04  29.7%/29.5%/23.2%/17.6%
    27,136    53    -0.00105  +0.0003  0.0009  1.314→    0.0%  -2.354  2.13e-04  28.1%/25.0%/30.3%/16.6%
    27,648    54    -0.00102  -0.0001  0.0011  1.298→    0.0%  -2.111  2.10e-04  24.2%/27.3%/28.3%/20.1%
    28,160    55    -0.00105  +0.0008  0.0011  1.303→    0.0%  -0.736  2.07e-04  25.4%/28.3%/27.9%/18.4%
    28,672    56    -0.00116  -0.0004  0.0028  1.307→    0.0%  -0.004  2.04e-04  26.0%/26.6%/28.5%/18.9%
    29,184    57    -0.00122  -0.0007  0.0015  1.303→    0.0%  -0.168  2.01e-04  27.0%/31.6%/24.0%/17.4%
    29,696    58    -0.00130  -0.0003  0.0012  1.301→    0.0%  -0.393  1.98e-04  25.0%/24.0%/30.9%/20.1%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.0001 (Overtrade)_BTC\ckpt_step0029696.pth  [40% apmācības]
    30,208    59    -0.00134  -0.0001  0.0012  1.306→    0.0%  -0.347  1.95e-04  23.8%/31.1%/26.0%/19.1%
    30,720    60    -0.00137  -0.0008  0.0008  1.300→    0.0%  -2.374  1.92e-04  24.0%/26.8%/30.3%/18.9%
    31,232    61    -0.00138  -0.0011  0.0009  1.301→    0.0%  -2.954  1.89e-04  30.3%/23.8%/27.0%/18.9%
    31,744    62    -0.00142  +0.0002  0.0009  1.301→    0.0%  -4.300  1.86e-04  29.3%/23.0%/29.7%/18.0%
    32,256    63    -0.00139  -0.0011  0.0008  1.299→    0.0%  -3.087  1.82e-04  30.3%/25.8%/26.4%/17.6%
    32,768    64    -0.00136  -0.0009  0.0010  1.289→    0.0%  -0.353  1.79e-04  29.3%/25.0%/26.8%/18.9%
