Žurnāls: ppo_trader_Clean Baseline_XRP.log

Ierīce: cpu  |  AMP: False
Eksperiments: Clean Baseline

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,455 sveces  |  2019-01-05 05:00:00 → 2026-05-13 04:50:00
Izmantojam     : 331,053 sveces  |  2023-03-20 15:45:00 → 2026-05-13 04:50:00
Apmācība (~2g) : 0..220,702  (2023-03-20 15:45:00 → 2025-04-25 00:55:00)
Tests  (~1g)   : 220,702..331,053  (2025-04-25 01:00:00 → 2026-05-13 04:50:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Režīms: Clean Baseline  —  visi reward shaping sodi atslēgti
Apmācība: tīrs PnL signāls (log-atgriešanās), bez OPEN_PENALTY, SHORT_TRADE_PEN, HOLD_PENALTY
Kontrolpunkti: checkpoints_Clean Baseline_XRP/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    18,432    36    -0.00167  -0.0020  0.0027  1.284→    0.0%  +0.186  2.57e-04  31.2%/24.4%/26.0%/18.4%
    18,944    37    -0.00169  -0.0015  0.0019  1.283↓    0.0%  +0.385  2.55e-04  28.7%/28.9%/23.0%/19.3%
    19,456    38    -0.00169  -0.0014  0.0018  1.290↓    0.0%  -0.824  2.53e-04  29.7%/28.1%/23.0%/19.1%
    19,968    39    -0.00167  -0.0001  0.0018  1.272↓    0.0%  -2.554  2.50e-04  34.8%/24.8%/22.9%/17.6%
    20,480    40    -0.00161  -0.0013  0.0014  1.291↓    0.0%  -1.560  2.48e-04  23.8%/29.9%/27.3%/18.9%
    20,992    41    -0.00158  -0.0013  0.0013  1.287↓    0.0%  -0.452  2.45e-04  31.4%/26.4%/24.2%/18.0%
    21,504    42    -0.00155  -0.0015  0.0017  1.293↓    0.0%  -1.746  2.43e-04  29.1%/30.1%/24.2%/16.6%
    22,016    43    -0.00156  -0.0009  0.0015  1.283↓    0.0%  -0.366  2.40e-04  34.8%/23.6%/24.4%/17.2%
    22,528    44    -0.00138  -0.0014  0.0016  1.290↓    0.0%  -0.309  2.38e-04  28.7%/31.2%/21.7%/18.4%
    23,040    45    -0.00146  +0.0003  0.0013  1.274↓    0.0%  -0.450  2.35e-04  32.0%/24.6%/25.6%/17.8%
    23,552    46    -0.00136  +0.0003  0.0011  1.293↓    0.0%  -1.583  2.33e-04  31.4%/25.4%/27.7%/15.4%
    24,064    47    -0.00137  +0.0003  0.0014  1.289↓    0.0%  -0.027  2.30e-04  31.1%/24.6%/27.5%/16.8%
    24,576    48    -0.00136  +0.0000  0.0014  1.284↓    0.0%  -1.072  2.27e-04  35.9%/26.6%/20.9%/16.6%
    25,088    49    -0.00138  -0.0016  0.0016  1.294↓    0.0%  +0.072  2.24e-04  28.7%/26.0%/27.3%/18.0%
    25,600    50    -0.00142  -0.0007  0.0016  1.292↓    0.0%  -1.187  2.22e-04  30.9%/23.8%/27.0%/18.4%
    26,112    51    -0.00151  +0.0004  0.0020  1.299↓    0.0%  +0.069  2.19e-04  30.7%/27.3%/25.4%/16.6%
    26,624    52    -0.00146  +0.0001  0.0020  1.292↓    0.0%  -0.096  2.16e-04  33.2%/27.5%/22.9%/16.4%
    27,136    53    -0.00154  +0.0002  0.0024  1.303↓    0.0%  -0.138  2.13e-04  29.1%/26.2%/28.3%/16.4%
    27,648    54    -0.00166  -0.0012  0.0017  1.286↓    0.0%  -0.605  2.10e-04  30.7%/25.8%/25.2%/18.4%
    28,160    55    -0.00166  -0.0014  0.0015  1.275↓    0.0%  +0.305  2.07e-04  33.0%/24.8%/24.8%/17.4%
