Žurnāls: ppo_trader_Realistic Mode, OP - 0.0008 (Active)_BTC.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.0008 (Active)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 771,726 sveces  |  2019-01-05 05:00:00 → 2026-05-10 16:05:00
Izmantojam     : 330,740 sveces  |  2023-03-19 05:05:00 → 2026-05-10 16:05:00
Apmācība (~2g) : 0..220,493  (2023-03-19 05:05:00 → 2025-04-22 20:50:00)
Tests  (~1g)   : 220,493..330,740  (2025-04-22 20:55:00 → 2026-05-10 16:05:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.0008  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.0008
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.0008 (Active)_BTC/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    18,432    36    -0.00172  -0.0002  0.0024  1.305→    0.0%  -1.122  2.57e-04  26.4%/26.8%/27.3%/19.5%
    18,944    37    -0.00176  -0.0002  0.0023  1.298→    0.0%  +0.244  2.55e-04  27.5%/27.9%/25.8%/18.8%
    19,456    38    -0.00178  -0.0004  0.0025  1.308→    0.0%  +0.028  2.53e-04  27.1%/29.3%/23.8%/19.7%
    19,968    39    -0.00184  -0.0003  0.0018  1.301→    0.0%  +0.085  2.50e-04  30.5%/25.4%/26.4%/17.8%
    20,480    40    -0.00183  -0.0001  0.0017  1.305→    0.0%  -0.193  2.48e-04  24.2%/29.1%/28.3%/18.4%
    20,992    41    -0.00185  -0.0009  0.0018  1.302→    0.0%  +0.158  2.45e-04  27.1%/26.2%/26.6%/20.1%
    21,504    42    -0.00188  -0.0005  0.0017  1.313→    0.0%  -0.076  2.43e-04  28.9%/28.5%/25.6%/17.0%
    22,016    43    -0.00191  +0.0004  0.0015  1.302→    0.0%  +0.125  2.40e-04  28.9%/26.0%/26.2%/18.9%
    22,528    44    -0.00191  -0.0003  0.0014  1.310→    0.0%  +0.175  2.38e-04  27.7%/30.1%/23.6%/18.6%
    23,040    45    -0.00181  +0.0002  0.0016  1.301→    0.0%  -0.082  2.35e-04  27.0%/27.3%/26.8%/18.9%
    23,552    46    -0.00175  -0.0005  0.0011  1.313→    0.0%  +0.181  2.33e-04  26.0%/25.2%/32.4%/16.4%
    24,064    47    -0.00167  -0.0003  0.0013  1.302→    0.0%  -0.159  2.30e-04  26.0%/27.7%/27.7%/18.6%
    24,576    48    -0.00162  -0.0007  0.0013  1.302→    0.0%  -1.296  2.27e-04  27.7%/27.9%/26.4%/18.0%
    25,088    49    -0.00155  -0.0008  0.0012  1.304→    0.0%  -0.582  2.24e-04  26.2%/25.8%/30.1%/18.0%
    25,600    50    -0.00154  -0.0006  0.0010  1.297→    0.0%  +0.366  2.22e-04  26.6%/24.2%/29.5%/19.7%
    26,112    51    -0.00149  -0.0007  0.0009  1.311→    0.0%  -3.284  2.19e-04  28.1%/25.2%/30.1%/16.6%
    26,624    52    -0.00143  -0.0003  0.0011  1.304→    0.0%  -0.775  2.16e-04  30.5%/28.9%/23.4%/17.2%
    27,136    53    -0.00141  -0.0003  0.0009  1.314→    0.0%  -2.902  2.13e-04  28.7%/25.2%/29.7%/16.4%
    27,648    54    -0.00137  -0.0003  0.0012  1.300→    0.0%  -2.441  2.10e-04  24.2%/26.6%/29.3%/19.9%
    28,160    55    -0.00139  +0.0012  0.0012  1.304→    0.0%  -0.772  2.07e-04  26.8%/27.5%/28.3%/17.4%
    28,672    56    -0.00151  -0.0004  0.0029  1.307→    0.0%  -0.007  2.04e-04  24.8%/27.7%/28.1%/19.3%
    29,184    57    -0.00157  -0.0010  0.0015  1.304→    0.0%  -0.110  2.01e-04  27.7%/31.1%/24.4%/16.8%
    29,696    58    -0.00165  -0.0001  0.0013  1.305→    0.0%  -0.545  1.98e-04  24.4%/24.4%/30.9%/20.3%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.0008 (Active)_BTC\ckpt_step0029696.pth  [40% apmācības]
    30,208    59    -0.00169  -0.0004  0.0012  1.307→    0.0%  -0.241  1.95e-04  24.2%/31.1%/26.2%/18.6%
    30,720    60    -0.00172  -0.0009  0.0008  1.300→    0.0%  -1.738  1.92e-04  24.6%/26.4%/30.5%/18.6%
    31,232    61    -0.00173  -0.0009  0.0009  1.301→    0.0%  -2.439  1.89e-04  31.1%/23.2%/27.3%/18.4%
    31,744    62    -0.00177  +0.0006  0.0008  1.303→    0.0%  -3.601  1.86e-04  30.3%/22.7%/29.9%/17.2%
    32,256    63    -0.00174  -0.0012  0.0008  1.299→    0.0%  -2.685  1.82e-04  30.7%/26.0%/26.2%/17.2%
    32,768    64    -0.00172  -0.0012  0.0009  1.288→    0.0%  -0.344  1.79e-04  30.5%/24.8%/25.8%/18.9%
    33,280    65    -0.00167  -0.0002  0.0010  1.296→    0.0%  -1.282  1.76e-04  32.0%/24.4%/27.0%/16.6%
    33,792    66    -0.00152  +0.0005  0.0008  1.291→    0.0%  -1.746  1.73e-04  31.4%/25.8%/25.4%/17.4%
    34,304    67    -0.00149  -0.0007  0.0009  1.293→    0.0%  -1.669  1.70e-04  30.5%/23.2%/27.1%/19.1%
    34,816    68    -0.00141  -0.0019  0.0008  1.304→    0.0%  -4.613  1.67e-04  28.7%/27.9%/26.6%/16.8%
    35,328    69    -0.00139  -0.0004  0.0009  1.301→    0.0%  -1.319  1.63e-04  33.0%/21.3%/28.9%/16.8%
    35,840    70    -0.00135  +0.0008  0.0008  1.298→    0.0%  -0.089  1.60e-04  29.7%/26.2%/26.8%/17.4%
    36,352    71    -0.00137  -0.0006  0.0008  1.310→    0.0%  -0.664  1.57e-04  32.6%/28.3%/24.2%/14.8%
    36,864    72    -0.00135  -0.0017  0.0008  1.293→    0.0%  -1.922  1.54e-04  26.4%/29.7%/24.0%/19.9%
    37,376    73    -0.00143  -0.0008  0.0011  1.289→    0.0%  -0.012  1.50e-04  30.1%/24.8%/28.7%/16.4%
    37,888    74    -0.00147  -0.0004  0.0008  1.292↓    0.0%  -0.888  1.47e-04  31.1%/25.6%/25.6%/17.8%
    38,400    75    -0.00149  +0.0006  0.0009  1.285↓    0.0%  +0.476  1.44e-04  32.4%/22.5%/27.7%/17.4%
    38,912    76    -0.00148  -0.0016  0.0007  1.289↓    0.0%  +0.128  1.41e-04  30.1%/22.9%/29.9%/17.2%
    39,424    77    -0.00144  -0.0007  0.0006  1.294↓    0.0%  +0.155  1.38e-04  31.1%/24.4%/27.7%/16.8%
    39,936    78    -0.00148  -0.0009  0.0008  1.292↓    0.0%  -3.117  1.34e-04  29.5%/22.7%/31.1%/16.8%
    40,448    79    -0.00145  -0.0001  0.0007  1.292↓    0.0%  -0.877  1.31e-04  29.7%/24.4%/27.7%/18.2%
    40,960    80    -0.00145  -0.0016  0.0007  1.291↓    0.0%  -1.592  1.28e-04  34.6%/18.9%/29.5%/17.0%
    41,472    81    -0.00146  +0.0001  0.0006  1.292↓    0.0%  -2.912  1.25e-04  31.4%/24.6%/25.6%/18.4%
    41,984    82    -0.00147  +0.0001  0.0011  1.273↓    0.0%  -0.070  1.22e-04  38.3%/19.9%/25.6%/16.2%
    42,496    83    -0.00140  -0.0020  0.0008  1.290↓    0.0%  -0.890  1.19e-04  30.7%/23.8%/27.3%/18.2%
    43,008    84    -0.00145  +0.0017  0.0012  1.279↓    0.0%  -0.645  1.15e-04  32.6%/26.8%/25.0%/15.6%
    43,520    85    -0.00146  +0.0013  0.0007  1.288↓    0.0%  -1.480  1.12e-04  33.0%/24.4%/25.2%/17.4%
    44,032    86    -0.00146  -0.0015  0.0007  1.274↓    0.0%  -0.667  1.09e-04  35.4%/24.2%/22.1%/18.4%
    44,544    87    -0.00154  -0.0013  0.0009  1.291↓    0.0%  +0.301  1.06e-04  31.6%/24.0%/28.5%/15.8%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.0008 (Active)_BTC\ckpt_step0044544.pth  [59% apmācības]
    45,056    88    -0.00155  -0.0012  0.0011  1.290↓    0.0%  +0.509  1.03e-04  33.0%/25.2%/24.6%/17.2%
    45,568    89    -0.00157  -0.0005  0.0009  1.264↓    0.0%  +0.009  1.00e-04  37.1%/20.3%/25.6%/17.0%
    46,080    90    -0.00160  +0.0006  0.0016  1.280↓    0.0%  -0.975  9.70e-05  33.8%/20.9%/27.5%/17.8%
    46,592    91    -0.00158  +0.0013  0.0011  1.273↓    0.0%  -0.238  9.40e-05  43.0%/18.8%/23.6%/14.6%
    47,104    92    -0.00156  +0.0001  0.0008  1.273↓    0.0%  -0.397  9.11e-05  33.0%/21.7%/28.1%/17.2%
    47,616    93    -0.00156  -0.0007  0.0007  1.254↓    0.0%  -1.210  8.81e-05  36.1%/18.6%/28.7%/16.6%
    48,128    94    -0.00149  -0.0005  0.0008  1.273↓    0.0%  -0.581  8.52e-05  34.6%/19.7%/28.3%/17.4%
    48,640    95    -0.00146  +0.0001  0.0006  1.265↓    0.0%  -0.809  8.23e-05  37.5%/21.7%/24.2%/16.6%
    49,152    96    -0.00149  -0.0001  0.0007  1.268↓    0.0%  -1.662  7.95e-05  38.5%/21.3%/24.0%/16.2%
    49,664    97    -0.00138  +0.0003  0.0007  1.265↓    0.0%  -0.740  7.67e-05  40.0%/18.8%/25.2%/16.0%
    50,176    98    -0.00133  -0.0010  0.0007  1.243↓    0.0%  -0.343  7.39e-05  41.0%/20.1%/21.7%/17.2%
    50,688    99    -0.00128  -0.0008  0.0011  1.274↓    0.0%  -2.142  7.12e-05  32.8%/20.9%/29.7%/16.6%
    51,200   100    -0.00131  -0.0002  0.0015  1.266↓    0.0%  -0.112  6.84e-05  39.6%/19.9%/25.0%/15.4%
    51,712   101    -0.00135  -0.0008  0.0012  1.273↓    0.0%  +0.259  6.58e-05  33.0%/18.8%/30.3%/18.0%
    52,224   102    -0.00132  +0.0001  0.0011  1.285↓    0.0%  -2.135  6.31e-05  32.6%/27.7%/24.2%/15.4%
    52,736   103    -0.00129  -0.0009  0.0009  1.283↓    0.0%  -0.599  6.06e-05  34.8%/25.8%/24.2%/15.2%
    53,248   104    -0.00126  +0.0020  0.0018  1.258↓    0.0%  -0.464  5.80e-05  38.5%/21.5%/23.2%/16.8%
    53,760   105    -0.00124  +0.0014  0.0008  1.269↓    0.0%  -1.524  5.55e-05  36.7%/21.3%/27.1%/14.8%
