Žurnāls: ppo_trader_Realistic Mode, OP - 0.0008 (Active)_LTC.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.0008 (Active)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,457 sveces  |  2019-01-05 05:00:00 → 2026-05-13 05:00:00
Izmantojam     : 331,053 sveces  |  2023-03-20 15:55:00 → 2026-05-13 05:00:00
Apmācība (~2g) : 0..220,702  (2023-03-20 15:55:00 → 2025-04-25 01:05:00)
Tests  (~1g)   : 220,702..331,053  (2025-04-25 01:10:00 → 2026-05-13 05:00:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.0008  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.0008
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.0008 (Active)_LTC/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.0008 (Active)_LTC\ckpt_step0014848.pth  [20% apmācības]
    15,360    30    -0.00212  -0.0035  0.0029  1.304→    0.0%  -0.293  2.70e-04  27.9%/27.0%/27.1%/18.0%
    15,872    31    -0.00212  -0.0001  0.0028  1.293→    0.0%  -0.209  2.68e-04  33.0%/26.4%/24.0%/16.6%
    16,384    32    -0.00217  -0.0011  0.0022  1.269→    0.0%  -0.382  2.66e-04  34.4%/24.6%/20.5%/20.5%
    16,896    33    -0.00224  +0.0002  0.0026  1.300→    0.0%  +0.138  2.64e-04  31.6%/31.2%/20.3%/16.8%
    17,408    34    -0.00234  +0.0002  0.0027  1.302→    0.0%  +0.308  2.62e-04  29.5%/31.8%/21.3%/17.4%
    17,920    35    -0.00232  -0.0007  0.0028  1.298→    0.0%  -0.681  2.60e-04  28.1%/32.8%/21.5%/17.6%
    18,432    36    -0.00235  -0.0007  0.0025  1.287↓    0.0%  +0.444  2.57e-04  31.2%/27.5%/21.9%/19.3%
    18,944    37    -0.00239  -0.0020  0.0019  1.289↓    0.0%  -0.499  2.55e-04  28.9%/30.7%/21.7%/18.8%
    19,456    38    -0.00244  -0.0004  0.0025  1.291↓    0.0%  +0.057  2.53e-04  31.4%/28.7%/20.9%/18.9%
    19,968    39    -0.00241  -0.0006  0.0022  1.274↓    0.0%  -0.502  2.50e-04  33.2%/27.0%/20.7%/19.1%
    20,480    40    -0.00242  -0.0001  0.0020  1.290↓    0.0%  -0.047  2.48e-04  26.6%/28.7%/26.6%/18.2%
    20,992    41    -0.00243  -0.0002  0.0017  1.293↓    0.0%  -0.221  2.45e-04  28.7%/25.8%/26.2%/19.3%
    21,504    42    -0.00239  -0.0009  0.0022  1.302↓    0.0%  -2.869  2.43e-04  31.4%/29.3%/22.3%/17.0%
    22,016    43    -0.00228  -0.0004  0.0016  1.292↓    0.0%  -0.421  2.40e-04  32.4%/25.2%/23.8%/18.6%
    22,528    44    -0.00217  -0.0007  0.0018  1.296↓    0.0%  -0.217  2.38e-04  30.5%/31.6%/19.3%/18.6%
    23,040    45    -0.00209  -0.0013  0.0013  1.286↓    0.0%  -2.384  2.35e-04  30.1%/25.8%/25.2%/18.9%
    23,552    46    -0.00195  -0.0004  0.0015  1.300↓    0.0%  -0.011  2.33e-04  29.1%/27.0%/27.3%/16.6%
    24,064    47    -0.00185  -0.0015  0.0010  1.289↓    0.0%  -2.399  2.30e-04  30.7%/27.9%/23.0%/18.4%
    24,576    48    -0.00179  -0.0017  0.0013  1.279↓    0.0%  -0.006  2.27e-04  31.4%/29.9%/19.9%/18.8%
    25,088    49    -0.00177  -0.0004  0.0013  1.291↓    0.0%  -0.296  2.24e-04  29.7%/28.7%/23.2%/18.4%
    25,600    50    -0.00177  -0.0013  0.0014  1.287↓    0.0%  -2.166  2.22e-04  29.1%/26.2%/24.0%/20.7%
    26,112    51    -0.00178  +0.0008  0.0019  1.300↓    0.0%  +0.142  2.19e-04  30.5%/28.5%/23.6%/17.4%
    26,624    52    -0.00204  +0.0003  0.0150  1.295↓    0.0%  -0.138  2.16e-04  30.5%/31.1%/20.5%/18.0%
    27,136    53    -0.00214  +0.0002  0.0027  1.308↓    0.0%  +0.755  2.13e-04  29.3%/27.5%/26.6%/16.6%
    27,648    54    -0.00223  -0.0006  0.0036  1.291↓    0.0%  -0.043  2.10e-04  28.3%/27.5%/24.4%/19.7%
    28,160    55    -0.00223  -0.0004  0.0024  1.292↓    0.0%  +0.275  2.07e-04  30.1%/27.1%/24.0%/18.8%
    28,672    56    -0.00227  -0.0001  0.0018  1.290↓    0.0%  +0.087  2.04e-04  29.3%/25.2%/25.6%/19.9%
    29,184    57    -0.00228  -0.0007  0.0014  1.288↓    0.0%  +0.071  2.01e-04  29.9%/31.1%/20.5%/18.6%
    29,696    58    -0.00225  -0.0002  0.0011  1.281↓    0.0%  -1.073  1.98e-04  29.9%/24.8%/24.6%/20.7%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.0008 (Active)_LTC\ckpt_step0029696.pth  [40% apmācības]
    30,208    59    -0.00224  -0.0001  0.0013  1.282↓    0.0%  -0.481  1.95e-04  27.3%/31.8%/20.7%/20.1%
    30,720    60    -0.00225  -0.0000  0.0012  1.291↓    0.0%  -0.129  1.92e-04  27.0%/27.9%/25.6%/19.5%
    31,232    61    -0.00224  -0.0001  0.0013  1.292↓    0.0%  -0.596  1.89e-04  32.6%/27.9%/21.1%/18.4%
    31,744    62    -0.00194  +0.0002  0.0010  1.299↓    0.0%  -0.630  1.86e-04  32.0%/27.5%/23.2%/17.2%
    32,256    63    -0.00191  -0.0004  0.0013  1.287↓    0.0%  -0.270  1.82e-04  33.0%/28.1%/20.7%/18.2%
    32,768    64    -0.00189  +0.0010  0.0013  1.289↓    0.0%  -0.921  1.79e-04  29.5%/29.9%/21.9%/18.8%
    33,280    65    -0.00192  -0.0006  0.0014  1.285↓    0.0%  -0.504  1.76e-04  31.8%/28.1%/22.3%/17.8%
    33,792    66    -0.00193  -0.0000  0.0009  1.288↓    0.0%  -0.994  1.73e-04  28.7%/32.0%/20.3%/18.9%
    34,304    67    -0.00197  -0.0001  0.0011  1.287↓    0.0%  -3.970  1.70e-04  29.7%/28.1%/22.3%/19.9%
    34,816    68    -0.00199  -0.0012  0.0010  1.291↓    0.0%  -2.854  1.67e-04  29.9%/30.7%/22.1%/17.4%
    35,328    69    -0.00203  -0.0005  0.0013  1.293↓    0.0%  -0.760  1.63e-04  34.8%/26.2%/23.0%/16.0%
    35,840    70    -0.00202  -0.0004  0.0011  1.282↓    0.0%  -1.459  1.60e-04  28.9%/29.5%/22.1%/19.5%
    36,352    71    -0.00206  +0.0001  0.0015  1.299↓    0.0%  -0.245  1.57e-04  31.1%/35.9%/17.6%/15.4%
    36,864    72    -0.00207  +0.0001  0.0009  1.274↓    0.0%  -0.615  1.54e-04  27.9%/31.4%/20.5%/20.1%
    37,376    73    -0.00202  -0.0010  0.0011  1.261↓    0.0%  +0.495  1.50e-04  33.6%/29.3%/18.4%/18.8%
    37,888    74    -0.00198  -0.0001  0.0012  1.276↓    0.0%  -0.386  1.47e-04  32.2%/29.5%/18.9%/19.3%
    38,400    75    -0.00197  +0.0006  0.0014  1.274↓    0.0%  -0.245  1.44e-04  34.4%/29.3%/19.7%/16.6%
    38,912    76    -0.00196  -0.0017  0.0013  1.281↓    0.0%  -0.438  1.41e-04  30.3%/28.1%/22.7%/18.9%
    39,424    77    -0.00197  -0.0005  0.0010  1.275↓    0.0%  -0.531  1.38e-04  30.9%/31.6%/18.9%/18.6%
    39,936    78    -0.00197  +0.0003  0.0008  1.279↓    0.0%  -0.762  1.34e-04  29.1%/30.5%/21.5%/18.9%
    40,448    79    -0.00200  -0.0004  0.0040  1.277↓    0.0%  -0.203  1.31e-04  29.3%/28.5%/22.1%/20.1%
    40,960    80    -0.00187  -0.0003  0.0011  1.280↓    0.0%  -1.536  1.28e-04  33.4%/27.7%/21.1%/17.8%
    41,472    81    -0.00174  -0.0011  0.0014  1.270↓    0.0%  -1.105  1.25e-04  33.4%/29.3%/18.6%/18.8%
    41,984    82    -0.00167  -0.0013  0.0009  1.249↓    0.0%  -1.467  1.22e-04  38.5%/25.4%/18.4%/17.8%
    42,496    83    -0.00161  -0.0001  0.0009  1.251↓    0.0%  +0.264  1.19e-04  32.6%/29.1%/17.8%/20.5%
    43,008    84    -0.00152  +0.0006  0.0009  1.256↓    0.0%  +0.283  1.15e-04  32.8%/33.6%/15.0%/18.6%
    43,520    85    -0.00145  +0.0008  0.0013  1.263↓    0.0%  -0.137  1.12e-04  34.8%/30.3%/16.6%/18.4%
    44,032    86    -0.00135  -0.0015  0.0009  1.240↓    0.0%  -0.308  1.09e-04  38.5%/28.9%/13.3%/19.3%
    44,544    87    -0.00128  -0.0010  0.0012  1.262↓    0.0%  -0.234  1.06e-04  33.4%/27.7%/21.3%/17.6%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.0008 (Active)_LTC\ckpt_step0044544.pth  [59% apmācības]
    45,056    88    -0.00120  +0.0004  0.0009  1.266↓    0.0%  -2.786  1.03e-04  34.2%/28.1%/18.4%/19.3%
    45,568    89    -0.00104  +0.0007  0.0009  1.254↓    0.0%  -1.663  1.00e-04  35.9%/27.1%/17.6%/19.3%
    46,080    90    -0.00102  -0.0000  0.0011  1.255↓    0.0%  +0.130  9.70e-05  35.7%/28.5%/16.6%/19.1%
    46,592    91    -0.00097  -0.0012  0.0009  1.269↓    0.0%  -2.684  9.40e-05  38.1%/24.6%/19.3%/18.0%
    47,104    92    -0.00097  -0.0009  0.0009  1.263↓    0.0%  -0.673  9.11e-05  33.0%/27.3%/20.5%/19.1%
    47,616    93    -0.00093  +0.0002  0.0008  1.259↓    0.0%  -0.679  8.81e-05  30.7%/28.3%/20.9%/20.1%
    48,128    94    -0.00091  -0.0012  0.0008  1.269↓    0.0%  -0.786  8.52e-05  32.2%/27.1%/20.9%/19.7%
    48,640    95    -0.00086  -0.0014  0.0009  1.263↓    0.0%  -1.318  8.23e-05  32.2%/28.7%/19.3%/19.7%
    49,152    96    -0.00089  -0.0007  0.0015  1.272↓    0.0%  -0.141  7.95e-05  32.8%/29.7%/18.4%/19.1%
    49,664    97    -0.00093  +0.0004  0.0014  1.284↓    0.0%  -0.414  7.67e-05  32.4%/28.1%/20.9%/18.6%
    50,176    98    -0.00091  -0.0018  0.0008  1.264↓    0.0%  -1.258  7.39e-05  34.2%/28.7%/17.4%/19.7%
    50,688    99    -0.00090  -0.0007  0.0010  1.287↓    0.0%  -1.928  7.12e-05  29.3%/28.1%/24.6%/18.0%
    51,200   100    -0.00091  +0.0005  0.0011  1.279↓    0.0%  -1.450  6.84e-05  32.2%/27.7%/21.3%/18.8%
    51,712   101    -0.00093  -0.0002  0.0007  1.271↓    0.0%  -0.632  6.58e-05  31.4%/25.8%/23.8%/18.9%
    52,224   102    -0.00092  +0.0008  0.0007  1.285↓    0.0%  -0.587  6.31e-05  29.5%/32.6%/18.8%/19.1%
    52,736   103    -0.00091  +0.0004  0.0008  1.287↓    0.0%  -0.426  6.06e-05  32.4%/31.8%/18.8%/17.0%
    53,248   104    -0.00091  -0.0006  0.0008  1.271↓    0.0%  -1.290  5.80e-05  34.2%/27.5%/18.9%/19.3%
    53,760   105    -0.00097  -0.0000  0.0011  1.281↓    0.0%  +0.496  5.55e-05  33.0%/25.2%/24.4%/17.4%
    54,272   106    -0.00098  -0.0001  0.0007  1.298↓    0.0%  -0.423  5.30e-05  33.0%/29.5%/20.5%/17.0%
    54,784   107    -0.00091  -0.0002  0.0012  1.264↓    0.0%  +0.686  5.06e-05  33.0%/25.8%/20.7%/20.5%
    55,296   108    -0.00099  -0.0011  0.0011  1.288↓    0.0%  +0.289  4.83e-05  26.6%/28.1%/26.0%/19.3%
    55,808   109    -0.00098  -0.0004  0.0008  1.276↓    0.0%  -0.888  4.59e-05  33.8%/26.2%/21.5%/18.6%
    56,320   110    -0.00098  -0.0001  0.0009  1.286↓    0.0%  -0.098  4.37e-05  28.3%/27.9%/23.0%/20.7%
    56,832   111    -0.00096  -0.0003  0.0009  1.268↓    0.0%  -3.228  4.14e-05  35.5%/26.4%/19.1%/18.9%
    57,344   112    -0.00097  +0.0011  0.0008  1.285↓    0.0%  -0.172  3.93e-05  30.9%/27.0%/24.2%/18.0%
    57,856   113    -0.00096  -0.0004  0.0006  1.270↓    0.0%  -1.835  3.71e-05  33.0%/28.9%/19.5%/18.6%
    58,368   114    -0.00096  -0.0001  0.0007  1.283↓    0.0%  -1.859  3.51e-05  30.3%/27.9%/23.2%/18.6%
    58,880   115    -0.00091  -0.0002  0.0006  1.287↓    0.0%  -0.426  3.30e-05  31.6%/30.1%/20.9%/17.4%
    59,392   116    -0.00086  +0.0006  0.0006  1.265↓    0.0%  -1.107  3.11e-05  33.2%/27.1%/20.9%/18.8%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.0008 (Active)_LTC\ckpt_step0059392.pth  [79% apmācības]
    59,904   117    -0.00085  +0.0001  0.0008  1.284↓    0.0%  -0.536  2.92e-05  31.4%/24.8%/25.0%/18.8%
    60,416   118    -0.00077  +0.0004  0.0006  1.265↓    0.0%  -2.198  2.73e-05  30.9%/27.0%/21.5%/20.7%
    60,928   119    -0.00075  +0.0011  0.0007  1.278↓    0.0%  -0.873  2.55e-05  31.1%/29.1%/21.1%/18.8%
    61,440   120    -0.00074  +0.0002  0.0006  1.266↓    0.0%  -2.143  2.38e-05  32.4%/25.6%/23.2%/18.8%
    61,952   121    -0.00075  -0.0014  0.0010  1.287↓    0.0%  +0.192  2.21e-05  31.2%/26.2%/23.0%/19.5%
    62,464   122    -0.00074  -0.0004  0.0006  1.286↓    0.0%  -0.583  2.05e-05  28.1%/31.2%/23.2%/17.4%
    62,976   123    -0.00078  -0.0001  0.0009  1.275↓    0.0%  -0.437  1.89e-05  32.0%/24.6%/22.5%/20.9%
    63,488   124    -0.00078  +0.0004  0.0007  1.275↓    0.0%  -0.354  1.74e-05  31.8%/27.9%/20.5%/19.7%
    64,000   125    -0.00076  +0.0007  0.0008  1.273↓    0.0%  -1.043  1.60e-05  31.8%/27.3%/21.9%/18.9%
    64,512   126    -0.00076  -0.0004  0.0006  1.273↓    0.0%  -1.136  1.46e-05  30.9%/30.7%/19.3%/19.1%
    65,024   127    -0.00075  -0.0004  0.0006  1.270↓    0.0%  -1.740  1.33e-05  34.0%/25.8%/21.1%/19.1%
    65,536   128    -0.00077  -0.0002  0.0007  1.277↓    0.0%  -2.136  1.21e-05  33.2%/26.0%/21.5%/19.3%
    66,048   129    -0.00081  +0.0006  0.0008  1.275↓    0.0%  -0.666  1.09e-05  33.0%/25.4%/22.7%/18.9%
    66,560   130    -0.00088  +0.0008  0.0009  1.272↓    0.0%  -0.405  9.77e-06  35.0%/27.1%/19.5%/18.4%
    67,072   131    -0.00093  +0.0008  0.0009  1.285↓    0.0%  +0.039  8.72e-06  35.9%/25.4%/22.1%/16.6%
    67,584   132    -0.00101  -0.0002  0.0008  1.288↓    0.0%  -1.837  7.73e-06  29.7%/29.7%/22.1%/18.6%
    68,096   133    -0.00100  -0.0002  0.0007  1.276↓    0.0%  -1.716  6.81e-06  30.9%/26.2%/24.6%/18.4%
    68,608   134    -0.00097  -0.0009  0.0006  1.267↓    0.0%  -2.076  5.96e-06  35.5%/25.8%/19.9%/18.8%
    69,120   135    -0.00103  -0.0005  0.0008  1.278↓    0.0%  -0.037  5.17e-06  29.3%/28.9%/22.7%/19.1%
