Žurnāls: ppo_trader_Risk Control Mode_LTC.log

Ierīce: cpu  |  AMP: False
Eksperiments: Risk Control Mode

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,457 sveces  |  2019-01-05 05:00:00 → 2026-05-13 05:00:00
Izmantojam     : 331,053 sveces  |  2023-03-20 15:55:00 → 2026-05-13 05:00:00
Apmācība (~2g) : 0..220,702  (2023-03-20 15:55:00 → 2025-04-25 01:05:00)
Tests  (~1g)   : 220,702..331,053  (2025-04-25 01:10:00 → 2026-05-13 05:00:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.000898  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.000898
Kontrolpunkti: checkpoints_Risk Control Mode_LTC/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    18,432    36    -0.07530  -0.0032  0.8084  0.393↓    0.0%  -0.006  2.57e-04  86.1%/ 3.7%/ 3.3%/ 6.8%
    18,944    37    -0.06529  -0.0029  0.7193  0.370↓    0.0%  -0.018  2.55e-04  84.6%/ 4.5%/ 3.3%/ 7.6%
    19,456    38    -0.05672  -0.0021  0.6636  0.357↓    0.0%  -0.004  2.53e-04  86.3%/ 3.9%/ 3.1%/ 6.6%
    19,968    39    -0.04907  -0.0019  0.6152  0.337↓    0.0%  +0.031  2.50e-04  87.1%/ 2.9%/ 3.7%/ 6.2%
    20,480    40    -0.04493  -0.0024  0.5965  0.315↓    0.0%  +0.009  2.48e-04  87.9%/ 4.1%/ 2.1%/ 5.9%
    20,992    41    -0.04035  -0.0018  0.5495  0.286↓    0.0%  -0.255  2.45e-04  90.0%/ 2.9%/ 2.1%/ 4.9%
    21,504    42    -0.03868  -0.0010  0.3187  0.290↓    0.0%  -0.313  2.43e-04  89.5%/ 3.5%/ 2.0%/ 5.1%
    22,016    43    -0.03590  -0.0019  0.3133  0.258↓    0.0%  -0.266  2.40e-04  93.0%/ 2.0%/ 1.6%/ 3.5%
    22,528    44    -0.03333  -0.0007  0.2821  0.237↓    0.0%  -0.594  2.38e-04  93.0%/ 2.5%/ 1.0%/ 3.5%
    23,040    45    -0.03046  -0.0023  0.2860  0.218↓    0.0%  -0.650  2.35e-04  93.6%/ 1.8%/ 1.6%/ 3.1%
    23,552    46    -0.02940  -0.0028  0.1733  0.205↓    0.1%  -0.030  2.33e-04  91.0%/ 2.1%/ 2.5%/ 4.3%
    24,064    47    -0.02739  -0.0023  0.2034  0.163↓    0.0%  -0.275  2.30e-04  94.7%/ 1.0%/ 1.6%/ 2.7%
    24,576    48    -0.02539  -0.0022  0.1946  0.149↓    0.0%  -0.177  2.27e-04  94.7%/ 1.6%/ 1.2%/ 2.5%
    25,088    49    -0.02233  +0.0000  0.1472  0.109↓    0.0%  -0.075  2.24e-04  98.2%/ 0.4%/ 0.4%/ 1.0%
    25,600    50    -0.02008  -0.0013  0.0841  0.112↓    0.0%  -0.880  2.22e-04  96.1%/ 1.0%/ 1.0%/ 2.0%
    26,112    51    -0.01881  -0.0022  0.0818  0.102↓    0.1%  -0.897  2.19e-04  96.1%/ 1.4%/ 0.6%/ 2.0%
    26,624    52    -0.01605  -0.0013  0.1328  0.078↓    0.2%  +0.090  2.16e-04  99.6%/ 0.2%/ 0.0%/ 0.2%
    27,136    53    -0.01485  +0.0011  0.0861  0.094↓    0.5%  -1.426  2.13e-04  97.3%/ 1.4%/ 0.0%/ 1.4%
    27,648    54    -0.01327  -0.0001  0.0515  0.068↓    0.0%  -0.315  2.10e-04  98.8%/ 0.2%/ 0.4%/ 0.6%
    28,160    55    -0.01186  -0.0007  0.0380  0.063↓    0.0%  -1.113  2.07e-04  98.4%/ 0.4%/ 0.4%/ 0.8%
    28,672    56    -0.00985  -0.0007  0.0446  0.056↓    0.1%  -0.817  2.04e-04  98.8%/ 0.6%/ 0.0%/ 0.6%
    29,184    57    -0.00851  -0.0001  0.0296  0.043↓    0.0%  -1.491  2.01e-04  99.6%/ 0.2%/ 0.0%/ 0.2%
    29,696    58    -0.00752  -0.0014  0.0360  0.049↓    0.0%  -0.434  1.98e-04  98.4%/ 0.4%/ 0.4%/ 0.8%
  ✓ Kontrolpunkts: checkpoints_Risk Control Mode_LTC\ckpt_step0029696.pth  [40% apmācības]
    30,208    59    -0.00747  -0.0002  0.0297  0.038↓    0.0%  -0.334  1.95e-04  99.2%/ 0.2%/ 0.2%/ 0.4%
    30,720    60    -0.00681  -0.0003  0.0227  0.030↓    0.0%  -0.830  1.92e-04  99.2%/ 0.2%/ 0.2%/ 0.4%
    31,232    61    -0.00594  -0.0008  0.0209  0.025↓    0.0%  -1.482  1.89e-04  99.6%/ 0.2%/ 0.0%/ 0.2%
    31,744    62    -0.00600  -0.0015  0.0178  0.022↓    0.0%  -1.744  1.86e-04  99.2%/ 0.2%/ 0.2%/ 0.4%
    32,256    63    -0.00531  -0.0014  0.0147  0.018↓    0.1%  -1.176  1.82e-04  99.6%/ 0.0%/ 0.2%/ 0.2%
    32,768    64    -0.00550  -0.0016  0.0398  0.027↓    0.0%  -0.317  1.79e-04  98.4%/ 0.2%/ 0.6%/ 0.8%
    33,280    65    -0.00514  +0.0000  0.0103  0.013↓    0.0%  -2.177  1.76e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    33,792    66    -0.00481  +0.0000  0.0120  0.012↓    0.0%  -1.538  1.73e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    34,304    67    -0.00474  +0.0000  0.0076  0.012↓    0.0%  -4.696  1.70e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    34,816    68    -0.00442  -0.0001  0.0142  0.015↓    0.0%  -0.500  1.67e-04  99.6%/ 0.2%/ 0.0%/ 0.2%
    35,328    69    -0.00439  -0.0003  0.0273  0.017↓    0.0%  -0.303  1.63e-04  99.6%/ 0.0%/ 0.2%/ 0.2%
    35,840    70    -0.00468  -0.0018  0.0316  0.021↓    0.1%  +0.137  1.60e-04  98.4%/ 0.6%/ 0.2%/ 0.8%
    36,352    71    -0.00457  +0.0000  0.0091  0.008↓    0.0%  -0.939  1.57e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    36,864    72    -0.00443  +0.0000  0.0074  0.008↓    0.0%  -0.712  1.54e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    37,376    73    -0.00436  +0.0000  0.0050  0.008↓    0.0%  -1.188  1.50e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    37,888    74    -0.00404  +0.0001  0.0172  0.012↓    0.0%  -0.235  1.47e-04  99.6%/ 0.2%/ 0.0%/ 0.2%
    38,400    75    -0.00404  +0.0000  0.0052  0.007↓    0.0%  -1.060  1.44e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    38,912    76    -0.00414  -0.0001  0.0092  0.009↓    0.0%  -0.399  1.41e-04  99.6%/ 0.0%/ 0.2%/ 0.2%
    39,424    77    -0.00414  +0.0000  0.0036  0.007↓    0.0%  -2.204  1.38e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    39,936    78    -0.00400  +0.0000  0.0036  0.007↓    0.0%  -0.568  1.34e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    40,448    79    -0.00377  -0.0000  0.0097  0.007↓    0.0%  +0.285  1.31e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
