Žurnāls: ppo_trader_Realistic Mode, OP - 0.0001 (Overtrade)_LTC.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.0001 (Overtrade)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,457 sveces  |  2019-01-05 05:00:00 → 2026-05-13 05:00:00
Izmantojam     : 331,053 sveces  |  2023-03-20 15:55:00 → 2026-05-13 05:00:00
Apmācība (~2g) : 0..220,702  (2023-03-20 15:55:00 → 2025-04-25 01:05:00)
Tests  (~1g)   : 220,702..331,053  (2025-04-25 01:10:00 → 2026-05-13 05:00:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.0001  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.0001
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.0001 (Overtrade)_LTC/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    18,432    36    -0.00199  -0.0007  0.0025  1.288→    0.0%  +0.473  2.57e-04  31.4%/26.6%/22.7%/19.3%
    18,944    37    -0.00203  -0.0022  0.0019  1.291↓    0.0%  -0.427  2.55e-04  27.3%/30.7%/22.9%/19.1%
    19,456    38    -0.00209  -0.0016  0.0025  1.294↓    0.0%  +0.132  2.53e-04  30.3%/28.5%/21.3%/19.9%
    19,968    39    -0.00206  -0.0007  0.0021  1.276↓    0.0%  -0.622  2.50e-04  32.2%/27.3%/21.1%/19.3%
    20,480    40    -0.00209  +0.0000  0.0020  1.293↓    0.0%  +0.007  2.48e-04  25.6%/28.3%/27.9%/18.2%
    20,992    41    -0.00208  -0.0002  0.0015  1.291↓    0.0%  -0.302  2.45e-04  27.7%/25.6%/26.8%/19.9%
    21,504    42    -0.00203  -0.0002  0.0021  1.303↓    0.0%  -2.502  2.43e-04  30.7%/28.1%/24.0%/17.2%
    22,016    43    -0.00192  +0.0001  0.0016  1.293↓    0.0%  -0.541  2.40e-04  31.8%/24.8%/24.8%/18.6%
    22,528    44    -0.00181  -0.0012  0.0017  1.300↓    0.0%  -0.243  2.38e-04  29.5%/32.0%/19.7%/18.8%
    23,040    45    -0.00174  -0.0011  0.0014  1.287↓    0.0%  -2.134  2.35e-04  30.1%/25.2%/25.6%/19.1%
    23,552    46    -0.00160  -0.0003  0.0015  1.301↓    0.0%  -0.003  2.33e-04  28.7%/26.6%/28.1%/16.6%
    24,064    47    -0.00150  -0.0019  0.0010  1.289↓    0.0%  -2.207  2.30e-04  30.5%/27.0%/24.4%/18.2%
    24,576    48    -0.00144  -0.0015  0.0014  1.280↓    0.0%  +0.112  2.27e-04  30.9%/29.9%/20.3%/18.9%
    25,088    49    -0.00143  -0.0002  0.0013  1.290↓    0.0%  -0.145  2.24e-04  28.9%/28.3%/23.8%/18.9%
    25,600    50    -0.00142  -0.0014  0.0014  1.288↓    0.0%  -1.631  2.22e-04  28.1%/25.0%/25.8%/21.1%
    26,112    51    -0.00144  +0.0010  0.0018  1.301↓    0.0%  +0.179  2.19e-04  29.5%/28.5%/24.6%/17.4%
    26,624    52    -0.00170  +0.0004  0.0146  1.297↓    0.0%  -0.119  2.16e-04  29.9%/30.9%/21.3%/18.0%
    27,136    53    -0.00181  -0.0000  0.0028  1.306↓    0.0%  +0.720  2.13e-04  28.1%/27.0%/27.5%/17.4%
    27,648    54    -0.00190  -0.0007  0.0035  1.289↓    0.0%  -0.000  2.10e-04  28.1%/27.0%/25.0%/19.9%
    28,160    55    -0.00188  -0.0003  0.0025  1.290↓    0.0%  +0.256  2.07e-04  29.9%/27.0%/24.4%/18.8%
    28,672    56    -0.00192  -0.0001  0.0018  1.288↓    0.0%  +0.055  2.04e-04  29.1%/25.2%/25.4%/20.3%
    29,184    57    -0.00192  -0.0008  0.0015  1.285↓    0.0%  +0.094  2.01e-04  29.1%/31.2%/20.3%/19.3%
    29,696    58    -0.00189  -0.0002  0.0010  1.277↓    0.0%  -0.927  1.98e-04  30.3%/24.0%/24.8%/20.9%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.0001 (Overtrade)_LTC\ckpt_step0029696.pth  [40% apmācības]
    30,208    59    -0.00187  -0.0001  0.0013  1.281↓    0.0%  -0.496  1.95e-04  27.3%/31.6%/20.7%/20.3%
    30,720    60    -0.00187  -0.0002  0.0012  1.286↓    0.0%  -0.115  1.92e-04  27.0%/27.5%/24.8%/20.7%
