Žurnāls: ppo_trader_Realistic Mode, OP - 0.000898 (Main)_LTC.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.000898 (Main)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,457 sveces  |  2019-01-05 05:00:00 → 2026-05-13 05:00:00
Izmantojam     : 331,053 sveces  |  2023-03-20 15:55:00 → 2026-05-13 05:00:00
Apmācība (~2g) : 0..220,702  (2023-03-20 15:55:00 → 2025-04-25 01:05:00)
Tests  (~1g)   : 220,702..331,053  (2025-04-25 01:10:00 → 2026-05-13 05:00:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.000898  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.000898
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.000898 (Main)_LTC/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    18,432    36    -0.00240  -0.0007  0.0025  1.289↓    0.0%  +0.462  2.57e-04  30.9%/27.9%/22.3%/18.9%
    18,944    37    -0.00244  -0.0019  0.0019  1.289↓    0.0%  -0.433  2.55e-04  28.3%/30.7%/22.1%/18.9%
    19,456    38    -0.00249  -0.0004  0.0025  1.292↓    0.0%  +0.034  2.53e-04  31.4%/28.7%/20.9%/18.9%
    19,968    39    -0.00245  -0.0006  0.0022  1.277↓    0.0%  -0.607  2.50e-04  33.0%/27.1%/20.7%/19.1%
    20,480    40    -0.00246  +0.0001  0.0020  1.289↓    0.0%  -0.093  2.48e-04  27.0%/28.7%/26.4%/18.0%
    20,992    41    -0.00247  -0.0002  0.0017  1.291↓    0.0%  -0.196  2.45e-04  28.1%/26.0%/26.2%/19.7%
    21,504    42    -0.00243  -0.0010  0.0022  1.303↓    0.0%  -2.963  2.43e-04  31.6%/29.5%/22.1%/16.8%
    22,016    43    -0.00232  -0.0005  0.0017  1.293↓    0.0%  -0.416  2.40e-04  32.0%/25.0%/24.2%/18.8%
    22,528    44    -0.00220  -0.0007  0.0017  1.297↓    0.0%  -0.183  2.38e-04  30.7%/31.2%/19.5%/18.6%
    23,040    45    -0.00213  -0.0013  0.0014  1.283↓    0.0%  -2.361  2.35e-04  30.7%/25.6%/24.8%/18.9%
    23,552    46    -0.00198  -0.0001  0.0015  1.300↓    0.0%  +0.048  2.33e-04  29.3%/26.6%/27.7%/16.4%
    24,064    47    -0.00188  -0.0015  0.0010  1.285↓    0.0%  -2.259  2.30e-04  32.0%/27.7%/22.1%/18.2%
    24,576    48    -0.00182  -0.0018  0.0013  1.279↓    0.0%  +0.055  2.27e-04  31.6%/29.9%/19.9%/18.6%
    25,088    49    -0.00180  -0.0004  0.0013  1.291↓    0.0%  -0.200  2.24e-04  29.9%/28.7%/23.2%/18.2%
    25,600    50    -0.00181  -0.0010  0.0014  1.288↓    0.0%  -1.829  2.22e-04  28.9%/26.0%/24.6%/20.5%
    26,112    51    -0.00182  +0.0009  0.0019  1.300↓    0.0%  +0.181  2.19e-04  30.7%/28.5%/23.6%/17.2%
    26,624    52    -0.00206  +0.0002  0.0142  1.293↓    0.0%  -0.137  2.16e-04  30.7%/30.7%/20.7%/18.0%
    27,136    53    -0.00217  +0.0003  0.0027  1.308↓    0.0%  +0.743  2.13e-04  29.5%/27.9%/26.4%/16.2%
    27,648    54    -0.00225  -0.0007  0.0036  1.288↓    0.0%  -0.033  2.10e-04  28.7%/27.7%/23.8%/19.7%
    28,160    55    -0.00225  -0.0004  0.0023  1.292↓    0.0%  +0.233  2.07e-04  30.1%/27.3%/24.2%/18.4%
    28,672    56    -0.00231  -0.0002  0.0017  1.288↓    0.0%  +0.040  2.04e-04  29.5%/25.8%/24.4%/20.3%
    29,184    57    -0.00231  -0.0008  0.0014  1.287↓    0.0%  +0.101  2.01e-04  29.7%/31.1%/20.7%/18.6%
    29,696    58    -0.00229  -0.0002  0.0011  1.280↓    0.0%  -0.863  1.98e-04  29.9%/25.6%/24.4%/20.1%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.000898 (Main)_LTC\ckpt_step0029696.pth  [40% apmācības]
    30,208    59    -0.00228  -0.0001  0.0013  1.280↓    0.0%  -0.411  1.95e-04  27.9%/31.6%/20.3%/20.1%
    30,720    60    -0.00228  +0.0001  0.0013  1.286↓    0.0%  -0.255  1.92e-04  28.1%/28.3%/24.2%/19.3%
    31,232    61    -0.00226  +0.0003  0.0013  1.285↓    0.0%  -0.621  1.89e-04  33.8%/27.9%/20.3%/18.0%
    31,744    62    -0.00198  +0.0001  0.0011  1.295↓    0.0%  -0.791  1.86e-04  32.8%/27.9%/22.5%/16.8%
    32,256    63    -0.00194  -0.0005  0.0012  1.280↓    0.0%  -0.333  1.82e-04  34.6%/28.3%/18.9%/18.2%
    32,768    64    -0.00193  +0.0009  0.0013  1.289↓    0.0%  -0.974  1.79e-04  29.1%/30.3%/22.1%/18.6%
    33,280    65    -0.00194  -0.0004  0.0014  1.278↓    0.0%  -0.639  1.76e-04  33.0%/27.9%/21.3%/17.8%
    33,792    66    -0.00194  -0.0005  0.0009  1.290↓    0.0%  -0.887  1.73e-04  28.9%/31.8%/20.7%/18.6%
    34,304    67    -0.00197  -0.0002  0.0011  1.283↓    0.0%  -3.572  1.70e-04  30.9%/28.5%/21.3%/19.3%
