Žurnāls: ppo_trader_Realistic Mode, OP - 0.000898 (Main)_SOL.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.000898 (Main)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 563,641 sveces  |  2020-08-15 11:00:00 → 2025-12-25 13:20:00
Izmantojam     : 241,561 sveces  |  2023-09-08 19:20:00 → 2025-12-25 13:20:00
Apmācība (~2g) : 0..161,040  (2023-09-08 19:20:00 → 2025-03-20 23:15:00)
Tests  (~1g)   : 161,040..241,561  (2025-03-20 23:20:00 → 2025-12-25 13:20:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.000898  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.000898
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.000898 (Main)_SOL/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    18,432    36    -0.00313  -0.0010  0.0027  1.275↓    0.0%  +0.557  2.57e-04  32.2%/21.3%/26.2%/20.3%
    18,944    37    -0.00308  -0.0010  0.0026  1.274↓    0.0%  +0.679  2.55e-04  31.1%/24.2%/23.8%/20.9%
    19,456    38    -0.00333  -0.0004  0.0048  1.269↓    0.0%  +0.396  2.53e-04  33.2%/25.0%/21.5%/20.3%
    19,968    39    -0.00319  -0.0015  0.0031  1.259↓    0.0%  +0.801  2.50e-04  36.9%/19.9%/24.6%/18.6%
    20,480    40    -0.00325  +0.0001  0.0044  1.267↓    0.0%  +0.586  2.48e-04  30.3%/23.6%/25.8%/20.3%
    20,992    41    -0.00325  -0.0004  0.0030  1.264↓    0.0%  +0.637  2.45e-04  33.2%/18.6%/27.7%/20.5%
    21,504    42    -0.00319  -0.0008  0.0040  1.272↓    0.0%  +0.378  2.43e-04  33.6%/21.7%/24.4%/20.3%
    22,016    43    -0.00317  -0.0008  0.0035  1.263↓    0.0%  +0.355  2.40e-04  35.0%/18.2%/27.1%/19.7%
    22,528    44    -0.00288  -0.0013  0.0031  1.263↓    0.0%  +0.525  2.38e-04  32.2%/23.6%/22.7%/21.5%
    23,040    45    -0.00266  -0.0012  0.0022  1.257↓    0.0%  -0.138  2.35e-04  31.2%/20.1%/27.9%/20.7%
    23,552    46    -0.00244  -0.0010  0.0019  1.261↓    0.0%  +0.569  2.33e-04  30.7%/18.9%/30.7%/19.7%
    24,064    47    -0.00230  -0.0002  0.0019  1.253↓    0.0%  +0.181  2.30e-04  32.0%/21.9%/26.2%/19.9%
    24,576    48    -0.00199  -0.0016  0.0022  1.252↓    0.0%  +0.445  2.27e-04  35.4%/18.9%/26.4%/19.3%
    25,088    49    -0.00179  -0.0005  0.0019  1.248↓    0.0%  +0.313  2.24e-04  32.4%/19.7%/26.4%/21.5%
    25,600    50    -0.00159  -0.0001  0.0019  1.261↓    0.0%  +0.563  2.22e-04  29.7%/18.0%/30.3%/22.1%
    26,112    51    -0.00143  -0.0003  0.0019  1.254↓    0.0%  -0.157  2.19e-04  33.4%/18.8%/26.6%/21.3%
    26,624    52    -0.00132  +0.0002  0.0019  1.268↓    0.0%  +0.219  2.16e-04  32.8%/22.7%/24.8%/19.7%
    27,136    53    -0.00134  -0.0007  0.0024  1.255↓    0.0%  +0.276  2.13e-04  32.0%/20.7%/26.6%/20.7%
