Žurnāls: ppo_trader_Realistic Mode, OP - 0.0008 (Active)_ETH.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.0008 (Active)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,429 sveces  |  2019-01-05 05:00:00 → 2026-05-13 02:40:00
Izmantojam     : 331,041 sveces  |  2023-03-20 14:35:00 → 2026-05-13 02:40:00
Apmācība (~2g) : 0..220,694  (2023-03-20 14:35:00 → 2025-04-24 23:05:00)
Tests  (~1g)   : 220,694..331,041  (2025-04-24 23:10:00 → 2026-05-13 02:40:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.0008  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.0008
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.0008 (Active)_ETH/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    22,528    44    -0.00165  -0.0011  0.0017  1.294→    0.0%  +0.260  2.38e-04  33.8%/26.0%/22.3%/18.0%
    23,040    45    -0.00160  -0.0001  0.0014  1.272↓    0.0%  -1.433  2.35e-04  34.2%/23.2%/25.6%/17.0%
    23,552    46    -0.00152  -0.0016  0.0015  1.289↓    0.0%  +0.070  2.33e-04  32.8%/19.9%/31.4%/15.8%
    24,064    47    -0.00147  -0.0006  0.0012  1.280↓    0.0%  -2.778  2.30e-04  37.5%/20.3%/27.3%/14.8%
    24,576    48    -0.00144  -0.0001  0.0012  1.284↓    0.0%  -3.325  2.27e-04  34.6%/23.8%/24.8%/16.8%
    25,088    49    -0.00143  -0.0001  0.0012  1.282↓    0.0%  -0.365  2.24e-04  33.8%/22.9%/27.1%/16.2%
    25,600    50    -0.00144  -0.0011  0.0012  1.276↓    0.0%  -1.761  2.22e-04  33.2%/19.9%/28.9%/18.0%
    26,112    51    -0.00145  +0.0004  0.0016  1.276↓    0.0%  -0.632  2.19e-04  36.3%/20.1%/27.7%/15.8%
    26,624    52    -0.00149  -0.0002  0.0014  1.272↓    0.0%  +0.235  2.16e-04  37.3%/24.2%/23.2%/15.2%
    27,136    53    -0.00165  -0.0014  0.0027  1.298↓    0.0%  -0.139  2.13e-04  31.4%/25.0%/27.9%/15.6%
    27,648    54    -0.00171  -0.0002  0.0015  1.265↓    0.0%  -1.098  2.10e-04  35.0%/21.1%/26.8%/17.2%
    28,160    55    -0.00172  -0.0008  0.0013  1.266↓    0.0%  -0.644  2.07e-04  35.5%/21.5%/25.2%/17.8%
    28,672    56    -0.00174  -0.0016  0.0012  1.249↓    0.0%  -0.241  2.04e-04  36.7%/18.2%/27.1%/18.0%
    29,184    57    -0.00176  -0.0008  0.0008  1.251↓    0.0%  +0.083  2.01e-04  36.9%/21.9%/23.6%/17.6%
    29,696    58    -0.00177  -0.0026  0.0011  1.235↓    0.0%  -1.434  1.98e-04  39.1%/17.0%/27.0%/17.0%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.0008 (Active)_ETH\ckpt_step0029696.pth  [40% apmācības]
    30,208    59    -0.00182  -0.0005  0.0013  1.229↓    0.0%  +0.181  1.95e-04  39.5%/20.7%/22.7%/17.2%
    30,720    60    -0.00181  -0.0025  0.0012  1.220↓    0.0%  -0.240  1.92e-04  40.0%/19.3%/25.2%/15.4%
    31,232    61    -0.00176  -0.0046  0.0011  1.202↓    0.1%  -0.922  1.89e-04  45.7%/17.6%/21.9%/14.8%
    31,744    62    -0.00168  +0.0006  0.0011  1.193↓    0.0%  -0.058  1.86e-04  44.7%/18.0%/22.3%/15.0%
    32,256    63    -0.00152  +0.0008  0.0010  1.140↓    0.0%  -0.433  1.82e-04  54.1%/15.2%/17.6%/13.1%
    32,768    64    -0.00146  -0.0023  0.0017  1.224↓    0.0%  -0.460  1.79e-04  37.7%/24.8%/20.7%/16.8%
    33,280    65    -0.00142  +0.0003  0.0013  1.175↓    0.0%  -0.775  1.76e-04  49.0%/17.4%/20.1%/13.5%
    33,792    66    -0.00146  -0.0010  0.0011  1.202↓    0.5%  -1.001  1.73e-04  44.1%/21.3%/19.3%/15.2%
    34,304    67    -0.00140  +0.0003  0.0012  1.172↓    0.1%  -2.541  1.70e-04  47.3%/18.6%/19.5%/14.6%
    34,816    68    -0.00135  -0.0029  0.0008  1.146↓    0.0%  -2.784  1.67e-04  48.6%/16.8%/19.9%/14.6%
    35,328    69    -0.00129  +0.0005  0.0012  1.166↓    0.0%  -1.063  1.63e-04  52.7%/16.0%/20.1%/11.1%
    35,840    70    -0.00135  -0.0011  0.0014  1.177↓    0.0%  -0.053  1.60e-04  44.3%/18.2%/22.1%/15.4%
    36,352    71    -0.00138  -0.0008  0.0014  1.220↓    0.0%  +0.111  1.57e-04  45.9%/25.4%/17.2%/11.5%
    36,864    72    -0.00141  +0.0000  0.0011  1.168↓    0.0%  +0.175  1.54e-04  45.1%/19.3%/19.9%/15.6%
    37,376    73    -0.00141  -0.0019  0.0010  1.191↓    0.0%  +0.425  1.50e-04  50.0%/17.6%/19.1%/13.3%
    37,888    74    -0.00140  -0.0021  0.0010  1.190↓    0.0%  -0.880  1.47e-04  46.9%/19.7%/19.7%/13.7%
    38,400    75    -0.00145  -0.0009  0.0012  1.188↓    0.0%  -0.644  1.44e-04  50.6%/16.8%/18.8%/13.9%
    38,912    76    -0.00141  -0.0024  0.0008  1.191↓    0.0%  -0.762  1.41e-04  47.3%/16.8%/22.7%/13.3%
    39,424    77    -0.00144  +0.0019  0.0008  1.198↓    0.0%  -0.801  1.38e-04  47.1%/19.1%/18.9%/14.8%
